Freq(Hz)	SPL(dB)
20	86.522
21	86.474
22	86.309
23	86.177
24	86.144
25	86.153
26	86.252
27	86.357
28	86.431
29	86.456
30	86.466
31	86.46
32	86.451
33	86.445
34	86.445
35	86.437
36	86.431
37	86.395
38	86.32
39	86.233
40	86.165
41	86.033
42	85.925
43	85.854
44	85.798
45	85.677
46	85.579
47	85.54
48	85.465
49	85.394
50	85.339
51	85.3
52	85.259
53	85.234
54	85.205
55	85.192
56	85.184
57	85.173
58	85.187
59	85.2
60	85.217
61	85.25
62	85.268
63	85.31
64	85.362
65	85.406
66	85.447
67	85.519
68	85.578
69	85.64
70	85.705
71	85.795
72	85.871
73	85.941
74	86.028
75	86.113
76	86.199
77	86.238
78	86.31
79	86.378
80	86.444
81	86.496
82	86.566
83	86.63
84	86.699
85	86.735
86	86.764
87	86.808
88	86.832
89	86.844
90	86.869
91	86.887
92	86.899
93	86.907
94	86.908
95	86.91
96	86.905
97	86.894
98	86.872
99	86.854
100	86.825
101	86.789
102	86.734
103	86.699
104	86.66
105	86.597
106	86.54
107	86.502
108	86.427
109	86.359
110	86.294
111	86.243
112	86.165
113	86.077
114	86.026
115	85.947
116	85.85
117	85.773
118	85.697
119	85.594
120	85.488
121	85.393
122	85.331
123	85.203
124	85.118
125	85.042
126	84.931
127	84.821
128	84.708
129	84.629
130	84.499
131	84.42
132	84.27
133	84.197
134	84.1
135	83.973
136	83.874
137	83.779
138	83.667
139	83.539
140	83.453
141	83.372
142	83.234
143	83.127
144	83.071
145	82.928
146	82.827
147	82.72
148	82.626
149	82.555
150	82.454
151	82.369
152	82.319
153	82.206
154	82.092
155	82.051
156	81.923
157	81.828
158	81.748
159	81.663
160	81.577
161	81.511
162	81.389
163	81.328
164	81.269
165	81.156
166	81.105
167	81.051
168	80.965
169	80.893
170	80.857
171	80.789
172	80.705
173	80.654
174	80.61
175	80.524
176	80.451
177	80.406
178	80.336
179	80.266
180	80.21
181	80.174
182	80.095
183	80.027
184	79.992
185	79.946
186	79.853
187	79.794
188	79.772
189	79.719
190	79.623
191	79.583
192	79.587
193	79.541
194	79.448
195	79.397
196	79.385
197	79.358
198	79.261
199	79.182
200	79.186
201	79.166
202	79.109
203	79.061
204	79.001
205	79.002
206	78.957
207	78.911
208	78.855
209	78.805
210	78.795
211	78.779
212	78.724
213	78.686
214	78.645
215	78.592
216	78.566
217	78.549
218	78.53
219	78.481
220	78.442
221	78.403
222	78.387
223	78.357
224	78.321
225	78.301
226	78.29
227	78.249
228	78.175
229	78.146
230	78.128
231	78.116
232	78.101
233	78.074
234	78.033
235	77.993
236	77.949
237	77.94
238	77.909
239	77.899
240	77.889
241	77.839
242	77.845
243	77.782
244	77.762
245	77.749
246	77.708
247	77.69
248	77.647
249	77.618
250	77.6
251	77.598
252	77.593
253	77.571
254	77.565
255	77.554
256	77.534
257	77.513
258	77.487
259	77.467
260	77.435
261	77.419
262	77.411
263	77.381
264	77.368
265	77.391
266	77.363
267	77.334
268	77.331
269	77.301
270	77.304
271	77.283
272	77.264
