Freq(Hz)	SPL(dB)
20	80.546
21	80.656
22	80.857
23	80.859
24	80.743
25	80.678
26	80.662
27	80.756
28	80.895
29	80.968
30	81.003
31	80.93
32	80.818
33	80.733
34	80.674
35	80.706
36	80.787
37	80.963
38	81.116
39	81.19
40	81.184
41	81.132
42	81.08
43	81.031
44	81.029
45	80.986
46	80.94
47	80.905
48	80.87
49	80.855
50	80.788
51	80.811
52	80.775
53	80.714
54	80.751
55	80.713
56	80.687
57	80.701
58	80.714
59	80.722
60	80.746
61	80.777
62	80.782
63	80.811
64	80.793
65	80.792
66	80.827
67	80.802
68	80.79
69	80.819
70	80.818
71	80.81
72	80.809
73	80.815
74	80.812
75	80.801
76	80.783
77	80.766
78	80.786
79	80.769
80	80.776
81	80.802
82	80.748
83	80.736
84	80.759
85	80.751
86	80.754
87	80.754
88	80.761
89	80.774
90	80.769
91	80.789
92	80.802
93	80.795
94	80.786
95	80.785
96	80.783
97	80.756
98	80.715
99	80.699
100	80.654
101	80.608
102	80.602
103	80.579
104	80.541
105	80.495
106	80.463
107	80.439
108	80.387
109	80.343
110	80.293
111	80.274
112	80.241
113	80.211
114	80.203
115	80.193
116	80.148
117	80.102
118	80.111
119	80.109
120	80.045
121	80.037
122	80.054
123	80.014
124	79.995
125	79.995
126	79.967
127	79.953
128	79.925
129	79.905
130	79.857
131	79.839
132	79.809
133	79.785
134	79.776
135	79.761
136	79.755
137	79.726
138	79.699
139	79.729
140	79.727
141	79.725
142	79.826
143	79.884
144	79.914
145	80.015
146	80.103
147	80.202
148	80.281
149	80.393
150	80.493
151	80.566
152	80.672
153	80.756
154	80.84
155	80.881
156	80.953
157	81.01
158	81.044
159	81.075
160	81.091
161	81.138
162	81.144
163	81.134
164	81.139
165	81.129
166	81.131
167	81.112
168	81.098
169	81.088
170	81.064
171	81.032
172	81.036
173	81.015
174	80.996
175	80.964
176	80.934
177	80.923
178	80.902
179	80.873
180	80.83
181	80.828
182	80.81
183	80.771
184	80.738
185	80.696
186	80.693
187	80.68
188	80.636
189	80.591
190	80.562
191	80.53
192	80.497
193	80.46
194	80.42
