Freq(Hz)	SPL(dB)
20	83.359
21	83.404
22	83.388
23	83.148
24	82.86
25	82.705
26	82.691
27	82.797
28	82.966
29	83.067
30	83.125
31	83.063
32	82.891
33	82.757
34	82.679
35	82.617
36	82.635
37	82.692
38	82.697
39	82.704
40	82.7
41	82.666
42	82.641
43	82.616
44	82.614
45	82.6
46	82.601
47	82.576
48	82.496
49	82.447
50	82.377
51	82.355
52	82.352
53	82.332
54	82.311
55	82.296
56	82.275
57	82.256
58	82.255
59	82.236
60	82.231
61	82.237
62	82.249
63	82.264
64	82.259
65	82.278
66	82.282
67	82.284
68	82.318
69	82.336
70	82.364
71	82.407
72	82.427
73	82.436
74	82.448
75	82.478
76	82.484
77	82.494
78	82.507
79	82.503
80	82.51
81	82.49
82	82.495
83	82.502
84	82.49
85	82.494
86	82.49
87	82.498
88	82.498
89	82.496
90	82.511
91	82.516
92	82.516
93	82.523
94	82.522
95	82.526
96	82.534
97	82.525
98	82.541
99	82.541
100	82.572
101	82.638
102	82.649
103	82.688
104	82.746
105	82.816
106	82.894
107	82.94
108	83.041
109	83.14
110	83.239
111	83.311
112	83.425
113	83.536
114	83.611
115	83.716
116	83.794
117	83.879
118	83.959
119	84.018
120	84.077
121	84.183
122	84.212
123	84.28
124	84.335
125	84.358
126	84.404
127	84.427
128	84.455
129	84.472
130	84.499
131	84.519
132	84.532
133	84.547
134	84.57
135	84.587
136	84.602
137	84.606
138	84.624
139	84.66
140	84.663
141	84.664
142	84.704
143	84.739
144	84.755
145	84.782
146	84.821
147	84.854
148	84.881
149	84.926
150	84.954
151	84.988
152	85.04
153	85.079
154	85.128
155	85.157
156	85.201
157	85.245
158	85.291
159	85.319
160	85.355
161	85.391
162	85.426
163	85.455
164	85.494
165	85.52
166	85.54
167	85.574
168	85.599
169	85.622
170	85.639
171	85.658
172	85.685
173	85.693
174	85.699
175	85.715
176	85.719
177	85.724
178	85.726
179	85.717
180	85.716
181	85.719
182	85.712
183	85.713
184	85.712
185	85.693
186	85.689
187	85.699
188	85.693
189	85.685
190	85.681
191	85.682
192	85.679
193	85.678
194	85.674
195	85.669
196	85.669
197	85.657
198	85.666
199	85.665
200	85.658
201	85.65
202	85.645
203	85.648
204	85.644
205	85.65
206	85.631
207	85.629
208	85.626
209	85.613
210	85.619
211	85.606
212	85.592
213	85.587
214	85.58
215	85.564
216	85.539
217	85.507
218	85.491
219	85.471
220	85.438
221	85.411
222	85.39
223	85.356
224	85.315
225	85.274
226	85.255
227	85.212
228	85.161
229	85.136
230	85.09
231	85.044
232	85.005
233	84.976
234	84.937
235	84.901
236	84.86
237	84.827
238	84.791
239	84.757
240	84.729
241	84.686
242	84.656
243	84.631
244	84.604
245	84.577
246	84.541
247	84.515
248	84.493
249	84.464
250	84.46
251	84.429
252	84.41
253	84.396
254	84.369
255	84.349
256	84.336
257	84.304
258	84.296
259	84.291
260	84.271
261	84.277
262	84.255
263	84.24
264	84.246
265	84.23
266	84.215
267	84.214
268	84.186
269	84.169
270	84.159
271	84.131
272	84.108
273	84.086
274	84.074
275	84.042
276	84.025
277	84.007
278	83.982
279	83.96
280	83.932
281	83.916
282	83.888
283	83.85
284	83.837
285	83.818
286	83.788
287	83.76
288	83.729
289	83.709
290	83.665
291	83.629
292	83.617
293	83.584
294	83.551
295	83.522
296	83.493
297	83.455
298	83.432
299	83.39
300	83.362
301	83.325
302	83.295
303	83.282
304	83.266
305	83.246
306	83.221
307	83.203
308	83.181
309	83.154
310	83.131
311	83.116
312	83.086
313	83.063
314	83.033
315	83.009
316	82.986
317	82.97
318	82.95
319	82.904
320	82.889
321	82.846
322	82.817
323	82.807
324	82.78
325	82.755
326	82.725
327	82.712
328	82.683
329	82.638
330	82.637
331	82.593
332	82.561
333	82.55
334	82.512
335	82.487
336	82.444
337	82.436
338	82.409
339	82.374
340	82.34
341	82.294
342	82.266
343	82.223
344	82.198
345	82.171
346	82.124
347	82.072
348	82.035
349	82.007
350	81.973
351	81.936
352	81.918
353	81.867
354	81.809
355	81.781
356	81.76
357	81.727
358	81.699
359	81.685
360	81.661
361	81.62
362	81.588
363	81.575
364	81.536
365	81.475
366	81.452
367	81.452
368	81.401
369	81.346
370	81.329
371	81.295
372	81.268
373	81.229
374	81.201
375	81.165
376	81.14
377	81.107
378	81.084
379	81.069
380	81.029
381	80.997
382	80.965
383	80.926
384	80.908
385	80.883
386	80.844
387	80.808
388	80.784
389	80.758
390	80.736
391	80.714
392	80.657
393	80.638
394	80.601
395	80.547
396	80.523
397	80.486
398	80.471
399	80.427
400	80.402
401	80.378
402	80.341
403	80.32
404	80.305
405	80.285
406	80.263
407	80.246
408	80.232
409	80.21
410	80.198
411	80.203
412	80.215
413	80.219
414	80.215
415	80.212
416	80.219
417	80.211
418	80.2
419	80.199
420	80.202
421	80.21
422	80.209
423	80.195
424	80.192
425	80.192
426	80.181
427	80.17
428	80.171
429	80.145
430	80.132
431	80.129
432	80.104
433	80.083
434	80.08
435	80.042
436	80.009
437	80.007
438	79.984
439	79.951
440	79.923
441	79.911
442	79.879
443	79.849
444	79.836
445	79.816
446	79.804
447	79.778
448	79.75
449	79.743
450	79.711
451	79.681
452	79.67
453	79.644
454	79.635
455	79.587
456	79.562
457	79.547
458	79.503
459	79.485
460	79.466
461	79.429
462	79.413
463	79.399
464	79.383
465	79.355
466	79.344
467	79.33
468	79.305
469	79.289
470	79.251
471	79.246
472	79.228
473	79.185
474	79.182
475	79.177
476	79.151
477	79.123
478	79.106
479	79.077
480	79.06
481	79.035
482	79.003
483	78.985
484	78.946
485	78.906
486	78.894
487	78.865
488	78.832
489	78.813
490	78.798
491	78.763
492	78.724
493	78.711
494	78.679
495	78.639
496	78.616
497	78.583
498	78.542
499	78.532
500	78.505
501	78.459
502	78.423
503	78.388
504	78.361
505	78.316
506	78.293
507	78.263
508	78.235
509	78.178
510	78.144
511	78.139
512	78.108
513	78.064
514	78.042
515	78.015
516	77.962
517	77.937
518	77.909
519	77.875
520	77.839
521	77.796
522	77.777
523	77.761
524	77.719
525	77.679
526	77.664
527	77.642
528	77.597
529	77.596
530	77.58
531	77.551
532	77.53
533	77.501
534	77.496
535	77.461
536	77.441
537	77.42
538	77.402
539	77.391
540	77.351
541	77.315
542	77.284
543	77.256
544	77.23
545	77.208
546	77.201
547	77.179
548	77.134
549	77.143
550	77.115
551	77.093
552	77.1
553	77.067
554	77.069
555	77.069
556	77.051
557	77.056
558	77.05
559	77.028
560	77.02
561	77.018
562	77
563	76.986
564	76.984
565	76.988
566	76.984
567	76.984
568	76.992
569	76.978
570	76.975
571	76.98
572	76.984
573	76.988
574	76.995
575	77.006
576	77.005
577	77.009
578	77.013
579	77.003
580	77.004
581	77.015
582	77.031
583	77.035
584	77.02
585	77.005
586	76.995
587	77.007
588	77.009
589	76.995
590	76.994
591	76.996
592	76.974
593	76.982
594	76.993
595	76.984
596	76.994
597	76.988
598	76.987
599	76.992
600	76.99
601	76.988
602	76.988
603	77.014
604	77.009
605	77.013
606	77.024
607	77.022
608	77.043
609	77.048
610	77.054
611	77.054
612	77.065
613	77.063
614	77.063
615	77.063
616	77.043
617	77.097
618	77.081
619	77.084
620	77.123
621	77.124
622	77.142
623	77.162
624	77.203
625	77.221
626	77.243
627	77.243
628	77.245
629	77.285
630	77.301
631	77.312
632	77.36
633	77.397
634	77.418
635	77.458
636	77.517
637	77.565
638	77.58
639	77.628
640	77.681
641	77.709
642	77.753
643	77.804
644	77.844
645	77.882
646	77.927
647	77.959
648	78.002
649	78.021
650	78.071
651	78.113
652	78.147
653	78.184
654	78.212
655	78.255
656	78.294
657	78.328
658	78.381
659	78.404
660	78.426
661	78.491
662	78.518
663	78.55
664	78.565
665	78.601
666	78.637
667	78.648
668	78.69
669	78.72
670	78.778
671	78.812
672	78.818
673	78.856
674	78.888
675	78.899
676	78.939
677	78.964
678	78.981
679	79.01
680	79.04
681	79.06
682	79.079
683	79.102
684	79.13
685	79.144
686	79.138
687	79.16
688	79.187
689	79.175
690	79.184
691	79.216
692	79.212
693	79.209
694	79.229
695	79.224
696	79.219
697	79.216
698	79.203
699	79.203
700	79.206
701	79.194
702	79.169
703	79.18
704	79.174
705	79.158
706	79.149
707	79.138
708	79.123
709	79.108
710	79.099
711	79.079
712	79.07
713	79.051
714	79.025
715	79.014
716	78.99
717	78.975
718	78.985
719	78.97
720	78.947
721	78.932
722	78.91
723	78.901
724	78.899
725	78.88
726	78.862
727	78.864
728	78.851
729	78.837
730	78.847
731	78.838
732	78.813
733	78.815
734	78.811
735	78.797
736	78.797
737	78.78
738	78.782
739	78.774
740	78.766
741	78.781
742	78.768
743	78.768
744	78.774
745	78.77
746	78.777
747	78.776
748	78.777
749	78.777
750	78.788
751	78.797
752	78.787
753	78.796
754	78.806
755	78.808
756	78.833
757	78.842
758	78.845
759	78.853
760	78.862
761	78.887
762	78.899
763	78.919
764	78.94
765	78.956
766	78.966
767	78.982
768	78.993
769	79.009
770	79.043
771	79.055
772	79.061
773	79.094
774	79.114
775	79.124
776	79.154
777	79.169
778	79.185
779	79.194
780	79.218
781	79.243
782	79.253
783	79.283
784	79.316
785	79.322
786	79.335
787	79.349
788	79.363
789	79.396
790	79.404
791	79.407
792	79.428
793	79.435
794	79.456
795	79.472
