Freq(Hz)	SPL(dB)
20	78.642
21	78.846
22	79.56
23	79.804
24	80.074
25	80.165
26	80.264
27	80.552
28	80.837
29	80.984
30	81.063
31	81.333
32	81.412
33	81.498
34	81.73
35	81.688
36	81.785
37	81.864
38	81.827
39	81.984
40	82.11
41	82.069
42	82.039
43	82.323
44	82.341
45	82.336
46	82.419
47	82.501
48	82.497
49	82.376
50	82.406
51	82.334
52	82.514
53	82.673
54	82.802
55	82.822
56	82.749
57	82.992
58	82.989
59	82.96
60	83.049
61	83.078
62	83.074
63	83.108
64	83.181
65	83.186
66	83.174
67	83.12
68	83.246
69	83.308
70	83.26
71	83.275
72	83.263
73	83.297
74	83.33
75	83.301
76	83.284
77	83.275
78	83.306
79	83.281
80	83.257
81	83.289
82	83.322
83	83.298
84	83.308
85	83.331
86	83.321
87	83.29
88	83.296
89	83.298
90	83.315
91	83.309
92	83.314
93	83.335
94	83.305
95	83.274
96	83.281
97	83.338
98	83.285
99	83.247
100	83.281
101	83.283
102	83.269
103	83.235
104	83.213
105	83.225
106	83.222
107	83.215
108	83.206
109	83.201
110	83.177
111	83.174
112	83.142
113	83.128
114	83.139
115	83.096
116	83.079
117	83.112
118	83.136
119	83.18
120	83.193
121	83.12
122	83.095
123	83.122
124	83.137
125	83.158
126	83.137
127	83.129
128	83.114
129	83.047
130	82.982
131	82.979
132	83.014
133	83.024
134	83.082
135	83.109
136	83.064
137	83.051
138	83.066
139	83.076
140	83.041
141	83.005
142	82.961
143	82.885
144	82.916
145	83.019
146	82.955
147	83.029
148	83.04
149	83.046
150	82.992
151	82.92
152	83.014
153	82.952
154	83.182
155	83.138
156	82.839
157	83.022
158	82.915
159	82.968
160	83.07
161	82.943
162	82.923
163	82.983
164	83.069
165	82.833
166	82.912
167	82.897
168	82.896
169	83.027
170	82.898
171	83.038
172	82.971
173	82.997
174	82.971
175	82.89
176	82.956
177	82.885
178	82.895
179	82.874
180	82.893
181	82.903
182	82.954
183	83.037
184	83.022
185	82.95
186	82.925
187	83.067
188	82.99
189	83.056
190	83.162
191	82.981
192	82.972
193	82.981
194	82.987
195	82.952
196	82.919
197	82.96
198	82.989
199	83.031
200	83.049
201	82.973
202	83.009
203	83.062
204	83.132
205	83.076
206	83.007
207	83.003
208	82.98
209	83.074
210	83.133
211	83.08
212	83
213	83.136
214	83.168
215	83.087
216	83.157
217	83.167
218	83.178
219	83.212
220	83.17
221	83.218
222	83.23
223	83.261
224	83.257
225	83.186
226	83.202
227	83.214
228	83.237
229	83.241
230	83.252
231	83.299
232	83.232
233	83.228
234	83.256
235	83.243
236	83.216
237	83.211
238	83.27
239	83.248
240	83.21
241	83.245
242	83.232
243	83.242
244	83.251
245	83.267
246	83.317
247	83.251
248	83.276
249	83.301
250	83.283
251	83.248
252	83.246
253	83.262
254	83.111
255	83.311
256	83.249
257	83.273
258	83.492
259	83.098
260	83.458
261	83.454
262	83.256
263	83.586
264	83.293
265	83.224
266	83.419
267	83.327
268	83.24
269	83.275
270	83.305
271	83.254
272	83.308
273	83.321
274	83.243
275	83.317
276	83.337
277	83.448
278	83.475
279	83.305
280	83.311
281	83.495
282	83.439
283	83.257
284	83.517
285	83.309
286	83.195
287	83.377
288	83.372
289	83.47
290	83.345
291	83.619
292	83.508
293	83.248
294	83.665
295	83.148
296	83.198
297	83.553
298	83.232
299	83.392
300	83.417
301	83.373
302	83.419
303	83.385
304	83.318
305	83.13
306	83.395
307	83.517
308	83.128
309	83.248
310	83.749
311	83.649
312	83.367
313	83.495
314	83.444
315	83.411
316	83.481
317	83.609
318	83.757
319	83.585
320	83.425
321	83.644
322	83.563
323	83.149
324	82.967
325	83.464
326	83.783
327	83.796
328	83.51
329	83.417
330	83.394
331	83.403
332	83.272
333	83.024
334	83.191
335	83.474
336	83.434
337	83.537
338	83.506
339	83.416
340	83.401
341	83.436
342	83.507
343	83.294
344	83.346
345	83.576
346	83.657
347	83.79
348	83.77
349	83.584
350	83.503
351	83.551
352	83.511
353	83.578
354	83.765
355	83.782
356	83.827
357	83.826
358	83.798
359	83.874
360	84.006
361	83.816
362	83.793
363	83.961
364	83.939
365	83.883
366	83.924
367	83.999
368	84.121
369	84.155
370	84.023
371	84.055
372	84.221
373	84.007
374	84.149
375	84.153
376	84.009
377	84.037
378	84.044
379	84.214
380	84.172
381	84.11
382	84.123
383	84.29
384	84.181
385	84.105
386	84.224
387	84.207
388	84.173
389	84.087
390	84.265
391	84.329
392	84.069
393	84.154
394	84.24
395	84.194
396	84.22
397	84.155
398	84.104
399	84.408
400	84.452
401	84.178
402	84.137
403	84.187
404	84.214
405	84.078
406	84.172
407	84.202
408	84.203
409	84.194
410	84.09
411	84.241
412	84.226
413	84.081
414	84.112
415	84.226
416	83.921
417	83.851
418	83.94
419	84.01
420	84.235
421	84.063
422	84.267
423	84.116
424	83.941
425	84.08
426	84.048
427	84.024
428	83.835
429	84.014
430	83.992
431	83.984
432	83.987
433	83.95
434	84.165
435	83.999
436	83.895
437	83.997
438	83.902
439	83.871
440	83.722
441	83.889
442	84.049
443	83.958
444	83.871
445	83.733
446	83.698
447	83.69
448	83.617
449	83.681
450	83.63
451	83.511
452	83.515
453	83.292
454	83.404
455	83.478
456	83.409
457	83.436
458	83.152
459	83.024
460	83.026
461	83.038
462	83.31
463	83.38
464	83.443
465	83.298
466	83.072
467	82.938
468	82.846
469	83.067
470	82.888
471	82.964
472	83.029
473	82.911
474	82.996
475	82.869
476	82.794
477	82.858
478	82.767
479	82.521
480	82.617
481	82.751
482	82.774
483	82.961
484	83.033
485	83.048
486	83.066
487	83.01
488	82.891
489	82.94
490	82.947
491	82.823
492	82.895
493	82.933
494	82.984
495	82.882
496	82.942
497	83.138
498	83.52
499	83.384
500	83.191
501	83.281
502	83.25
503	83.136
504	83.036
505	83.012
506	83.104
507	83.259
508	83.308
509	83.193
510	83.337
511	83.344
512	83.27
513	83.361
514	83.293
515	83.292
516	83.415
517	83.447
518	83.504
519	83.543
520	83.487
521	83.335
522	83.646
523	83.642
524	83.345
525	83.526
526	83.432
527	83.551
528	83.621
529	83.406
530	83.416
531	83.531
532	83.645
533	83.435
534	83.652
535	83.767
536	83.746
537	83.567
538	83.687
539	83.826
540	83.464
541	83.766
542	83.717
543	83.46
544	83.739
545	83.643
546	83.59
547	83.8
548	83.744
549	83.829
550	83.908
551	83.685
552	83.811
553	84.002
554	83.632
555	84.329
556	84.467
557	83.591
558	84.222
559	83.86
560	83.488
561	83.852
562	83.783
563	84.018
564	83.799
565	83.925
566	83.926
567	83.633
568	84.015
569	83.734
570	83.977
571	84.053
572	83.802
573	84.076
574	83.976
575	83.943
576	84.062
577	83.976
578	83.945
579	84.138
580	83.96
581	84.063
582	84.164
583	84.011
584	84.103
585	84.134
586	83.995
587	84.171
588	84.113
589	83.94
590	84.297
591	84.101
592	84.079
593	84.25
594	84.017
595	84.269
596	84.238
597	84.025
598	84.427
599	84.312
600	84.166
601	84.373
602	84.281
603	84.286
604	84.366
605	84.285
606	84.407
607	84.366
608	84.265
609	84.52
610	84.269
611	84.356
612	84.64
613	84.318
614	84.486
615	84.599
616	84.359
617	84.515
618	84.364
619	84.4
620	84.601
621	84.37
622	84.386
623	84.524
624	84.5
625	84.482
626	84.491
627	84.553
628	84.65
629	84.522
630	84.526
631	84.63
632	84.755
633	84.615
634	84.496
635	84.748
636	84.708
637	84.648
638	84.681
639	84.609
640	84.802
641	84.789
642	84.634
643	84.674
644	84.799
645	84.827
646	84.753
647	84.705
648	84.745
649	84.945
650	84.894
651	84.77
652	84.793
653	84.786
654	84.901
655	84.942
656	84.925
657	84.759
658	84.82
659	84.868
660	84.855
661	84.91
662	84.81
663	84.846
664	84.939
665	84.896
666	84.799
667	84.838
668	84.87
669	84.806
670	84.796
671	84.866
672	84.899
673	84.758
674	84.762
675	84.809
676	84.736
677	84.825
678	84.859
679	84.778
680	84.769
681	84.814
682	84.831
683	84.702
684	84.788
685	84.764
686	84.663
687	84.802
688	84.755
689	84.708
690	84.737
691	84.777
692	84.762
693	84.539
694	84.579
695	84.759
696	84.42
697	84.696
698	84.888
699	84.533
700	84.62
701	84.624
702	84.85
703	84.71
704	85.01
705	85.194
706	84.617
707	84.78
708	84.954
709	84.566
710	84.41
711	84.589
712	84.67
713	84.521
714	84.585
715	84.856
716	84.67
717	84.546
718	84.806
719	84.673
720	84.529
721	84.698
722	84.695
723	84.672
724	84.532
725	84.533
726	84.663
727	84.595
728	84.593
729	84.652
730	84.676
731	84.734
732	84.569
733	84.467
734	84.66
735	84.729
736	84.571
737	84.664
738	84.677
739	84.545
740	84.638
741	84.76
742	84.734
743	84.591
744	84.575
745	84.632
746	84.587
747	84.693
748	84.657
749	84.657
750	84.639
751	84.57
752	84.743
753	84.595
754	84.562
755	84.813
756	84.627
757	84.615
758	84.676
759	84.657
760	84.68
761	84.537
762	84.763
763	84.748
764	84.553
765	84.603
766	84.671
767	84.752
768	84.541
769	84.567
770	84.916
771	84.758
772	84.511
773	84.828
774	84.846
775	84.581
776	84.721
777	84.74
778	84.657
779	84.7
780	84.569
781	84.663
782	84.665
783	84.543
784	84.506
785	84.68
786	84.616
787	84.485
788	84.648
789	84.533
790	84.456
791	84.577
792	84.585
793	84.498
794	84.513
795	84.567
796	84.453
797	84.421
798	84.573
799	84.637
800	84.485
801	84.497
802	84.655
803	84.597
804	84.52
805	84.479
806	84.563
807	84.663
808	84.536
809	84.539
810	84.679
811	84.652
812	84.605
813	84.631
814	84.675
815	84.684
816	84.666
817	84.642
818	84.645
819	84.67
820	84.686
821	84.691
822	84.697
823	84.671
824	84.628
825	84.692
826	84.762
827	84.693
828	84.57
829	84.683
830	84.682
831	84.671
832	84.691
833	84.623
834	84.589
835	84.588
836	84.692
837	84.649
838	84.553
839	84.549
840	84.542
841	84.568
842	84.606
843	84.567
844	84.494
845	84.54
846	84.554
847	84.562
848	84.649
849	84.587
850	84.431
851	84.521
852	84.563
853	84.508
854	84.449
855	84.486
856	84.471
857	84.446
858	84.401
859	84.443
860	84.523
861	84.428
862	84.262
863	84.28
864	84.363
865	84.435
866	84.286
867	84.226
868	84.277
869	84.312
870	84.348
871	84.234
872	84.164
873	84.302
874	84.254
875	84.198
876	84.23
877	84.118
878	84.201
879	84.216
880	84.133
881	84.183
882	84.18
883	84.168
884	84.23
885	84.296
886	84.202
887	84.171
888	84.214
889	84.268
890	84.276
891	84.196
892	84.222
893	84.251
894	84.231
895	84.29
896	84.358
897	84.326
898	84.324
899	84.331
900	84.292
901	84.316
902	84.252
903	84.168
904	84.291
905	84.334
906	84.256
907	84.193
908	84.3
909	84.3
910	84.22
911	84.316
912	84.383
913	84.331
914	84.279
915	84.243
916	84.237
917	84.439
918	84.425
919	84.346
920	84.425
921	84.394
922	84.389
923	84.454
924	84.435
925	84.342
926	84.273
927	84.316
928	84.427
929	84.454
930	84.469
931	84.477
932	84.446
933	84.392
934	84.455
935	84.516
936	84.445
937	84.401
938	84.466
939	84.395
940	84.219
941	84.349
942	84.41
943	84.335
944	84.287
945	84.222
946	84.261
947	84.277
948	84.341
949	84.414
950	84.272
951	84.216
952	84.276
953	84.228
954	84.263
955	84.47
956	84.516
957	84.39
958	84.22
959	84.197
960	84.34
961	84.465
962	84.419
963	84.232
964	84.225
965	84.418
966	84.52
967	84.356
968	84.326
969	84.492
970	84.489
971	84.496
972	84.556
973	84.547
974	84.475
975	84.504
976	84.551
977	84.536
978	84.594
979	84.614
980	84.577
981	84.588
982	84.591
983	84.533
984	84.538
985	84.694
986	84.736
987	84.695
988	84.593
989	84.554
990	84.535
991	84.515
992	84.587
993	84.569
994	84.552
995	84.563
996	84.514
997	84.477
998	84.461
999	84.457
1000	84.459
1001	84.575
1002	84.572
1003	84.507
1004	84.479
1005	84.446
1006	84.488
1007	84.465
1008	84.461
1009	84.435
1010	84.39
1011	84.357
1012	84.324
1013	84.369
1014	84.322
1015	84.259
1016	84.194
1017	84.108
1018	84.023
1019	83.964
1020	84.054
1021	84.075
1022	83.993
1023	83.932
1024	83.852
1025	83.795
1026	83.845
1027	83.839
1028	83.77
1029	83.659
1030	83.648
1031	83.628
1032	83.549
1033	83.554
1034	83.559
1035	83.518
1036	83.495
1037	83.431
1038	83.351
1039	83.338
1040	83.285
1041	83.336
1042	83.335
1043	83.204
1044	83.205
1045	83.215
1046	83.13
1047	83.07
1048	83.147
1049	83.138
1050	83.151
1051	83.114
1052	83.045
1053	83.001
1054	83.088
1055	83.279
1056	83.12
1057	83.029
1058	82.967
1059	82.931
1060	82.977
1061	82.974
1062	82.995
1063	83.01
1064	83.008
1065	83.045
1066	83.199
1067	83.234
1068	83.107
1069	82.893
1070	82.842
1071	82.94
1072	82.986
1073	82.967
1074	82.976
1075	83.09
1076	83.153
1077	83.156
1078	83.115
1079	82.964
1080	82.895
1081	82.885
1082	82.867
1083	82.912
1084	83.035
1085	83.247
1086	83.4
1087	83.301
1088	83.155
1089	83.194
1090	83.125
1091	83.051
1092	83.017
1093	83.125
1094	83.198
1095	83.218
1096	83.241
1097	83.384
1098	83.448
1099	83.424
1100	83.337
1101	83.255
1102	83.236
1103	83.182
1104	83.253
1105	83.275
1106	83.31
1107	83.389
1108	83.281
1109	83.263
1110	83.447
1111	83.607
1112	83.566
1113	83.543
1114	83.515
1115	83.376
1116	83.23
1117	83.313
1118	83.491
1119	83.527
1120	83.56
1121	83.565
1122	83.573
1123	83.626
1124	83.677
1125	83.737
1126	83.618
1127	83.619
1128	83.692
1129	83.671
1130	83.727
1131	83.848
1132	83.894
1133	83.91
1134	83.869
1135	83.852
1136	83.854
1137	83.795
1138	83.744
1139	83.757
1140	83.816
1141	83.896
1142	83.864
1143	83.854
1144	83.956
1145	84.131
1146	84.174
1147	84.021
1148	84.043
1149	84.026
1150	83.921
1151	84.037
1152	83.994
1153	83.961
1154	83.96
1155	83.871
1156	84.035
1157	83.925
1158	83.906
1159	84.047
1160	84.011
1161	84.031
1162	83.969
1163	84.04
1164	84.189
1165	84.078
1166	83.939
1167	84.044
1168	84.147
1169	84.153
1170	84.095
1171	84.076
1172	84.062
1173	84.034
1174	83.996
1175	84.041
1176	84.224
1177	84.258
1178	84.321
1179	84.387
1180	84.312
1181	84.404
1182	84.371
1183	84.432
1184	84.36
1185	84.217
1186	84.266
1187	84.171
1188	84.209
1189	84.308
1190	84.266
1191	84.298
1192	84.304
1193	84.366
1194	84.341
1195	84.293
1196	84.398
1197	84.381
1198	84.346
1199	84.35
1200	84.375
1201	84.473
1202	84.494
1203	84.472
1204	84.413
1205	84.428
1206	84.463
1207	84.449
1208	84.383
1209	84.494
1210	84.542
1211	84.514
1212	84.539
1213	84.496
1214	84.458
1215	84.507
1216	84.612
1217	84.683
1218	84.68
1219	84.719
1220	84.737
1221	84.695
1222	84.647
1223	84.625
1224	84.589
1225	84.541
1226	84.518
1227	84.443
1228	84.432
1229	84.423
1230	84.426
1231	84.509
1232	84.502
1233	84.529
1234	84.568
1235	84.551
1236	84.574
1237	84.622
1238	84.655
1239	84.644
1240	84.726
1241	84.657
1242	84.618
1243	84.652
1244	84.616
1245	84.686
1246	84.666
