Freq(Hz)	SPL(dB)
20	72.914
21	73.184
22	73.919
23	74.698
24	75.11
25	75.31
26	75.871
27	76.25
28	76.769
29	77.093
30	77.521
31	78.198
32	78.223
33	78.683
34	79.01
35	78.831
36	79.165
37	79.464
38	79.824
39	80.018
40	80.177
41	80.653
42	80.738
43	81.027
44	81.204
45	81.168
46	81.478
47	81.612
48	81.598
49	81.74
50	82.011
51	82.013
52	82.04
53	82.486
54	82.63
55	82.758
56	83.03
57	83.206
58	83.385
59	83.455
60	83.556
61	83.626
62	83.649
63	83.743
64	83.787
65	83.814
66	83.853
67	83.849
68	83.875
69	83.972
70	84.054
71	84.119
72	84.129
73	84.168
74	84.228
75	84.242
76	84.278
77	84.286
78	84.318
79	84.348
80	84.31
81	84.341
82	84.348
83	84.296
84	84.301
85	84.284
86	84.265
87	84.277
88	84.265
89	84.263
90	84.251
91	84.203
92	84.235
93	84.233
94	84.209
95	84.226
96	84.19
97	84.204
98	84.193
99	84.132
100	84.143
101	84.111
102	84.098
103	84.118
104	84.081
105	84.124
106	84.07
107	84.043
108	84.072
109	84.057
110	84.063
111	84.057
112	84.033
113	84.022
114	84.042
115	84.066
116	84.08
117	84.062
118	84.009
119	84.055
120	84.109
121	83.973
122	83.939
123	83.95
124	84.031
125	84.021
126	83.893
127	83.997
128	83.887
129	83.795
130	83.799
131	83.717
132	83.74
133	83.751
134	83.73
135	83.75
136	83.762
137	83.727
138	83.701
139	83.688
140	83.696
141	83.665
142	83.68
143	83.767
144	83.751
145	83.731
146	83.605
147	83.575
148	83.584
149	83.539
150	83.515
151	83.526
152	83.516
153	83.538
154	83.524
155	83.46
156	83.461
157	83.523
158	83.598
159	83.46
160	83.415
161	83.481
162	83.311
163	83.381
164	83.438
165	83.4
166	83.41
167	83.43
168	83.428
169	83.401
170	83.405
171	83.327
172	83.322
173	83.408
174	83.397
175	83.366
176	83.377
177	83.364
178	83.287
179	83.28
180	83.306
181	83.271
182	83.285
183	83.3
184	83.325
185	83.343
186	83.302
187	83.258
188	83.272
189	83.304
190	83.269
191	83.266
192	83.267
193	83.258
194	83.249
