* Measurement data measured by REW V5.20.9
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Dated: 3.10.2022 17:55:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Measurement: TR-X00 PH Left AVG Tiukka
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)
20.141602	84.672
20.507813	84.881
20.874023	85.106
21.240234	85.345
21.606445	85.575
21.972656	85.768
22.338867	85.906
22.705078	85.991
23.071289	86.039
23.437500	86.072
23.803711	86.105
24.169922	86.143
24.536133	86.175
24.902344	86.197
25.268555	86.209
25.634766	86.224
26.000977	86.254
26.367188	86.305
26.733399	86.372
27.099610	86.442
27.465821	86.509
27.832032	86.571
28.198243	86.630
28.564454	86.693
28.930665	86.762
29.296876	86.841
29.663087	86.927
30.029298	87.012
30.395509	87.081
30.761720	87.122
31.127931	87.129
31.494142	87.112
31.860353	87.088
32.226563	87.072
32.592774	87.070
32.958985	87.075
33.325196	87.078
33.691407	87.080
34.057618	87.083
34.423829	87.095
34.790040	87.114
35.156251	87.137
35.522462	87.156
35.888673	87.171
36.254884	87.182
36.621095	87.191
36.987306	87.198
37.353517	87.201
37.719728	87.204
38.085939	87.212
38.452150	87.224
38.818361	87.236
39.184572	87.238
39.550783	87.224
39.916994	87.197
40.283205	87.168
40.649416	87.150
41.015627	87.147
41.381838	87.153
41.748049	87.157
42.114260	87.150
42.480471	87.133
42.846682	87.113
43.212893	87.100
43.579103	87.094
43.945314	87.092
44.311525	87.087
44.677736	87.075
45.043947	87.058
45.410158	87.042
45.776369	87.029
46.142580	87.022
46.508791	87.018
46.875002	87.014
47.241213	87.009
47.607424	87.001
47.973635	86.991
48.339846	86.976
48.706057	86.956
49.072268	86.934
49.438479	86.914
49.804690	86.899
50.170901	86.889
50.537112	86.883
50.903323	86.876
51.269534	86.866
51.635745	86.855
52.001956	86.845
52.368167	86.835
52.734378	86.823
53.100589	86.805
53.466800	86.779
53.833011	86.752
54.199222	86.728
54.565432	86.712
54.931643	86.700
55.297854	86.684
55.664065	86.657
56.030276	86.621
56.396487	86.580
56.762698	86.544
57.128909	86.516
57.495120	86.494
57.861331	86.473
58.227542	86.451
58.593753	86.428
58.959964	86.412
59.326175	86.404
59.692386	86.403
60.058597	86.403
60.424808	86.396
60.791019	86.377
61.157230	86.351
61.523441	86.324
61.889652	86.303
62.255863	86.288
62.622074	86.278
62.988285	86.264
63.354496	86.244
63.720707	86.218
64.086918	86.192
64.453129	86.171
64.819340	86.156
65.185551	86.145
65.551762	86.134
65.917972	86.119
66.284183	86.102
66.650394	86.085
67.016605	86.070
67.382816	86.059
67.749027	86.048
68.115238	86.037
68.481449	86.025
68.847660	86.011
69.213871	85.998
69.580082	85.985
69.946293	85.973
70.312504	85.961
70.678715	85.948
71.044926	85.935
71.411137	85.922
71.777348	85.910
72.143559	85.898
72.509770	85.887
72.875981	85.876
73.242192	85.867
73.608403	85.860
73.974614	85.855
74.340825	85.852
74.707036	85.849
75.073247	85.843
75.439458	85.832
