* Measurement data measured by REW V5.20.9
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Dated: 3.10.2022 18:01:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Measurement: TR-X00 PH Right AVG Tiukka
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)
20.141602	86.948
20.507813	87.041
20.874023	87.108
21.240234	87.173
21.606445	87.260
21.972656	87.370
22.338867	87.484
22.705078	87.570
23.071289	87.612
23.437500	87.619
23.803711	87.619
24.169922	87.639
24.536133	87.690
24.902344	87.756
25.268555	87.815
25.634766	87.854
26.000977	87.876
26.367188	87.896
26.733399	87.930
27.099610	87.983
27.465821	88.051
27.832032	88.126
28.198243	88.198
28.564454	88.258
28.930665	88.304
29.296876	88.335
29.663087	88.358
30.029298	88.382
30.395509	88.413
30.761720	88.450
31.127931	88.486
31.494142	88.513
31.860353	88.527
32.226563	88.530
32.592774	88.530
32.958985	88.535
33.325196	88.548
33.691407	88.566
34.057618	88.585
34.423829	88.602
34.790040	88.615
35.156251	88.626
35.522462	88.638
35.888673	88.651
36.254884	88.664
36.621095	88.678
36.987306	88.693
37.353517	88.710
37.719728	88.731
38.085939	88.753
38.452150	88.769
38.818361	88.773
39.184572	88.764
39.550783	88.745
39.916994	88.724
40.283205	88.710
40.649416	88.705
41.015627	88.708
41.381838	88.713
41.748049	88.716
42.114260	88.717
42.480471	88.720
42.846682	88.726
43.212893	88.732
43.579103	88.736
43.945314	88.739
44.311525	88.741
44.677736	88.745
45.043947	88.751
45.410158	88.755
45.776369	88.752
46.142580	88.742
46.508791	88.726
46.875002	88.713
47.241213	88.706
47.607424	88.705
47.973635	88.706
48.339846	88.701
48.706057	88.685
49.072268	88.660
49.438479	88.633
49.804690	88.613
50.170901	88.604
50.537112	88.604
50.903323	88.605
51.269534	88.597
51.635745	88.579
52.001956	88.554
52.368167	88.530
52.734378	88.515
53.100589	88.507
53.466800	88.502
53.833011	88.493
54.199222	88.476
54.565432	88.454
54.931643	88.433
55.297854	88.415
55.664065	88.401
