Freq(Hz)	SPL(dB)
20	84.672
21	84.881
22	85.575
23	85.991
24	86.105
25	86.175
26	86.224
27	86.372
28	86.571
29	86.693
30	86.927
31	87.122
32	87.088
33	87.07
34	87.08
35	87.114
36	87.156
37	87.191
38	87.204
39	87.236
40	87.224
41	87.15
42	87.157
43	87.113
44	87.094
45	87.075
46	87.029
47	87.018
48	87.001
49	86.956
50	86.899
51	86.883
52	86.855
53	86.823
54	86.752
55	86.712
56	86.657
57	86.544
58	86.473
59	86.428
60	86.403
61	86.377
62	86.324
63	86.278
64	86.218
65	86.156
66	86.134
67	86.085
68	86.048
69	86.011
70	85.985
71	85.948
72	85.91
73	85.887
74	85.86
75	85.849
76	85.816
77	85.772
78	85.735
79	85.73
80	85.692
81	85.664
82	85.647
83	85.64
84	85.604
85	85.581
86	85.565
87	85.555
88	85.547
89	85.51
90	85.471
91	85.456
92	85.448
93	85.435
94	85.402
95	85.36
96	85.34
97	85.317
98	85.3
99	85.292
100	85.268
101	85.237
102	85.213
103	85.193
104	85.165
105	85.144
106	85.124
107	85.112
108	85.09
109	85.064
110	85.039
111	85.021
112	84.99
113	84.961
114	84.945
115	84.928
116	84.907
117	84.884
118	84.868
119	84.847
120	84.832
121	84.81
122	84.791
123	84.765
124	84.742
125	84.725
126	84.697
127	84.668
128	84.642
129	84.624
130	84.599
131	84.577
132	84.556
133	84.543
134	84.522
135	84.501
136	84.479
137	84.463
138	84.44
139	84.42
140	84.405
141	84.381
142	84.358
143	84.337
144	84.322
145	84.299
146	84.275
147	84.253
148	84.24
149	84.225
150	84.21
151	84.2
152	84.183
153	84.166
154	84.151
155	84.14
156	84.124
157	84.109
158	84.098
159	84.092
160	84.081
161	84.066
162	84.051
163	84.043
164	84.031
165	84.019
166	84.01
167	83.995
168	83.982
169	83.972
170	83.965
171	83.951
172	83.935
173	83.92
174	83.909
175	83.889
176	83.867
177	83.855
178	83.844
179	83.834
180	83.824
181	83.818
182	83.806
183	83.793
184	83.779
185	83.77
186	83.756
187	83.742
188	83.734
189	83.721
190	83.708
191	83.693
192	83.683
193	83.669
194	83.656
195	83.644
196	83.636
197	83.623
198	83.608
199	83.593
200	83.582
201	83.564
202	83.547
203	83.536
204	83.522
205	83.511
206	83.5
207	83.492
