* Measurement data measured by REW V5.20.9
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Dated: 3.10.2022 18:01:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Measurement: TR-X00 PH Right AVG Tiukka
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	86.900
20.600000	87.060
21.200001	87.165
21.799999	87.317
22.400000	87.500
23.000000	87.607
23.600000	87.618
24.299999	87.655
25.000000	87.773
25.799999	87.865
26.500000	87.907
27.200001	88.000
28.000000	88.160
29.000000	88.310
30.000000	88.380
30.700001	88.444
31.500000	88.514
32.500000	88.530
33.500000	88.556
34.500000	88.605
35.500000	88.637
36.500000	88.673
37.500000	88.719
38.700001	88.773
40.000000	88.720
41.200001	88.710
42.500000	88.721
43.700001	88.737
45.000000	88.750
46.200001	88.740
47.500000	88.705
48.700001	88.685
50.000000	88.607
51.500000	88.587
53.000000	88.509
54.500000	88.458
56.000000	88.388
58.000000	88.290
60.000000	88.161
61.500000	88.048
63.000000	88.001
65.000000	87.823
67.000000	87.754
69.000000	87.688
71.000000	87.604
73.000000	87.512
75.000000	87.486
77.500000	87.427
80.000000	87.355
82.500000	87.330
85.000000	87.208
87.500000	87.157
90.000000	87.099
92.500000	87.034
95.000000	86.952
97.500000	86.880
100.000000	86.787
103.000000	86.738
106.000000	86.636
109.000000	86.551
112.000000	86.482
115.000000	86.395
118.000000	86.305
122.000000	86.196
125.000000	86.121
128.000000	86.041
132.000000	85.947
136.000000	85.860
140.000000	85.776
145.000000	85.665
150.000000	85.563
155.000000	85.468
160.000000	85.385
165.000000	85.294
170.000000	85.226
175.000000	85.140
180.000000	85.066
185.000000	84.982
190.000000	84.911
195.000000	84.829
200.000000	84.744
206.000000	84.636
212.000000	84.521
218.000000	84.398
224.000000	84.290
230.000000	84.189
236.000000	84.086
243.000000	83.965
250.000000	83.839
258.000000	83.799
265.000000	83.763
272.000000	83.704
280.000000	83.643
290.000000	83.573
300.000000	83.510
307.000000	83.473
315.000000	83.450
325.000000	83.404
335.000000	83.351
345.000000	83.290
355.000000	83.263
365.000000	83.287
375.000000	83.382
387.000000	83.561
400.000000	83.713
412.000000	83.865
425.000000	84.056
437.000000	84.075
450.000000	84.060
462.000000	84.036
475.000000	83.991
487.000000	83.922
500.000000	83.792
515.000000	83.579
530.000000	83.330
545.000000	83.084
560.000000	82.844
580.000000	82.452
600.000000	82.011
615.000000	81.696
630.000000	81.416
650.000000	81.163
670.000000	81.049
690.000000	81.067
710.000000	81.207
730.000000	81.441
750.000000	81.757
775.000000	82.215
800.000000	82.658
825.000000	83.014
850.000000	83.301
875.000000	83.543
900.000000	83.775
925.000000	83.960
950.000000	84.083
975.000000	84.123
1000.000000	84.039
1030.000000	84.151
1060.000000	84.168
1090.000000	84.186
1120.000000	84.224
1150.000000	84.254
1180.000000	84.288
1220.000000	84.346
1250.000000	84.412
1280.000000	84.496
1320.000000	84.636
1360.000000	84.784
1400.000000	84.957
1450.000000	85.206
1500.000000	85.470
1550.000000	85.732
1600.000000	86.000
1650.000000	86.280
1700.000000	86.576
1750.000000	86.654
1800.000000	87.148
1850.000000	87.482
1900.000000	87.827
1950.000000	88.163
2000.000000	88.404
2060.000000	88.644
2120.000000	88.948
2180.000000	89.264
2240.000000	89.525
2300.000000	89.775
2360.000000	90.023
2430.000000	90.320
2500.000000	90.646
2580.000000	90.917
2650.000000	90.885
2720.000000	90.473
2800.000000	89.659
2900.000000	88.579
3000.000000	88.599
3070.000000	88.467
3150.000000	89.141
3250.000000	89.728
3350.000000	89.137
3450.000000	88.294
3550.000000	87.662
3650.000000	87.354
3750.000000	87.242
3870.000000	87.192
4000.000000	87.167
4120.000000	87.258
4250.000000	87.458
4370.000000	87.410
4500.000000	87.667
4620.000000	88.021
4750.000000	88.314
4870.000000	88.412
5000.000000	88.446
5150.000000	88.436
5300.000000	88.546
5450.000000	88.964
5600.000000	89.339
5800.000000	89.365
6000.000000	88.843
6150.000000	88.051
6300.000000	87.075
6500.000000	85.724
6700.000000	84.455
6900.000000	83.151
7100.000000	82.649
7300.000000	82.051
7500.000000	82.180
7750.000000	84.096
8000.000000	83.060
8250.000000	75.173
8500.000000	83.284
8750.000000	85.784
9000.000000	85.909
9250.000000	85.761
9500.000000	85.823
9750.000000	86.583
10000.000000	86.486
10300.000000	84.053
10600.000000	82.074
10900.000000	81.969
11200.000000	83.784
11500.000000	86.276
11800.000000	86.267
12200.000000	83.220
12500.000000	81.416
12800.000000	79.121
13200.000000	76.574
13600.000000	76.437
14000.000000	78.359
14500.000000	78.932
15000.000000	74.794
15500.000000	70.961
16000.000000	71.396
16500.000000	70.804
17000.000000	67.985
17500.000000	63.659
18000.000000	63.080
18500.000000	67.180
19000.000000	67.354
19500.000000	66.861

