Freq(Hz)	SPL(dB)
20	74.945
21	75.796
22	77.865
23	79.336
24	79.854
25	79.99
26	79.809
27	79.705
28	80.073
29	80.538
30	81.281
31	81.936
32	82.303
33	82.438
34	82.462
35	82.493
36	82.569
37	82.75
38	82.996
39	83.234
40	83.345
41	83.443
42	83.474
43	83.474
44	83.5
45	83.557
46	83.625
47	83.668
48	83.689
49	83.73
50	83.745
51	83.742
52	83.759
53	83.756
54	83.753
55	83.727
56	83.668
57	83.612
58	83.542
59	83.499
60	83.453
61	83.403
62	83.354
63	83.27
64	83.16
65	83.037
66	82.962
67	82.835
68	82.729
69	82.631
70	82.568
71	82.461
72	82.343
73	82.263
74	82.143
75	82.027
76	81.924
77	81.867
78	81.78
79	81.685
80	81.596
81	81.551
82	81.49
83	81.41
84	81.351
85	81.318
86	81.263
87	81.21
88	81.177
89	81.121
90	81.094
91	81.059
92	81.037
93	81.022
94	81
95	80.961
96	80.934
97	80.913
98	80.883
99	80.868
100	80.826
101	80.822
102	80.838
103	80.808
104	80.79
105	80.779
106	80.757
107	80.739
108	80.71
109	80.688
110	80.667
111	80.648
112	80.636
113	80.621
114	80.596
115	80.575
116	80.539
117	80.534
118	80.533
119	80.468
120	80.465
121	80.45
122	80.415
123	80.409
124	80.39
125	80.374
126	80.353
127	80.339
128	80.282
129	80.259
130	80.253
131	80.21
132	80.198
133	80.183
134	80.156
135	80.145
136	80.122
137	80.097
138	80.067
139	80.025
140	80.004
141	79.982
142	79.969
143	79.941
144	79.903
145	79.871
146	79.868
147	79.844
148	79.817
149	79.79
150	79.756
151	79.736
152	79.704
153	79.677
154	79.638
155	79.606
156	79.596
157	79.55
158	79.526
159	79.513
160	79.452
161	79.428
162	79.379
163	79.342
164	79.304
165	79.23
166	79.199
167	79.175
168	79.129
169	79.112
170	79.107
171	79.09
172	79.106
173	79.158
174	79.198
175	79.273
176	79.353
177	79.414
178	79.491
179	79.529
180	79.57
181	79.581
182	79.586
183	79.618
184	79.64
185	79.651
186	79.671
187	79.688
188	79.694
189	79.673
190	79.665
191	79.648
192	79.63
193	79.604
194	79.556
195	79.534
196	79.508
197	79.462
198	79.422
199	79.388
200	79.363
201	79.323
202	79.282
203	79.257
204	79.199
205	79.125
206	79.1
207	79.064
208	79.024
209	78.981
210	78.934
211	78.921
212	78.884
213	78.837
214	78.795
215	78.756
216	78.711
217	78.639
218	78.621
219	78.577
220	78.511
221	78.479
222	78.448
223	78.394
224	78.34
225	78.294
226	78.256
227	78.223
228	78.18
229	78.139
230	78.112
231	78.052
232	78.018
233	77.997
234	77.922
235	77.869
236	77.825
237	77.791
238	77.761
239	77.716
240	77.681
241	77.652
242	77.584
243	77.536
244	77.511
245	77.455
246	77.402
247	77.322
248	77.327
249	77.274
250	77.166
251	77.141
252	77.087
253	77.053
254	77.014
255	76.989
256	77.002
257	76.968
258	76.979
259	76.954
260	76.938
261	76.966
262	76.923
263	76.942
264	76.935
265	76.895
266	76.899
267	76.89
268	76.864
269	76.848
270	76.839
271	76.842
272	76.861
273	76.816
274	76.83
275	76.85
276	76.811
277	76.77
278	76.756
279	76.784
280	76.743
281	76.747
282	76.759
