Freq(Hz)	SPL(dB)
20	72.028
21	72.545
22	74.098
23	75.452
24	76.247
25	76.609
26	76.892
27	77.151
28	77.552
29	77.917
30	78.531
31	79.109
32	79.51
33	79.717
34	79.891
35	80.06
36	80.189
37	80.361
38	80.54
39	80.719
40	80.809
41	80.913
42	80.981
43	81.027
44	81.068
45	81.122
46	81.186
47	81.244
48	81.277
49	81.387
50	81.479
51	81.475
52	81.522
53	81.575
54	81.619
55	81.639
56	81.641
57	81.628
58	81.599
59	81.592
60	81.578
61	81.536
62	81.497
63	81.436
64	81.348
65	81.245
66	81.179
67	81.06
68	80.954
69	80.85
70	80.781
71	80.669
72	80.549
73	80.48
74	80.379
75	80.286
76	80.187
77	80.122
78	80.055
79	79.976
80	79.914
81	79.903
82	79.854
83	79.808
84	79.783
85	79.766
86	79.752
87	79.736
88	79.731
89	79.713
90	79.703
91	79.694
92	79.679
93	79.671
94	79.698
95	79.677
96	79.671
97	79.691
98	79.68
99	79.675
100	79.681
101	79.674
102	79.659
103	79.675
104	79.679
105	79.653
106	79.66
107	79.66
108	79.642
109	79.657
110	79.666
111	79.646
112	79.645
113	79.629
114	79.614
115	79.62
116	79.622
117	79.616
118	79.626
119	79.621
120	79.612
121	79.611
122	79.604
123	79.615
124	79.607
125	79.606
126	79.598
127	79.615
128	79.61
129	79.593
130	79.606
131	79.596
132	79.595
133	79.598
134	79.599
135	79.612
136	79.62
137	79.61
138	79.599
139	79.61
140	79.613
141	79.586
142	79.589
143	79.6
144	79.587
145	79.601
146	79.593
147	79.586
148	79.591
149	79.594
150	79.599
151	79.604
152	79.614
153	79.605
154	79.61
155	79.62
156	79.602
157	79.591
158	79.608
159	79.607
160	79.609
161	79.624
162	79.633
163	79.63
164	79.653
165	79.653
166	79.646
167	79.666
168	79.675
169	79.664
170	79.664
171	79.691
172	79.689
173	79.671
174	79.68
175	79.666
176	79.653
177	79.68
178	79.663
179	79.639
180	79.621
181	79.607
182	79.613
183	79.586
184	79.579
185	79.566
186	79.527
187	79.507
188	79.493
189	79.467
190	79.444
191	79.422
192	79.409
193	79.386
194	79.337
195	79.324
196	79.323
197	79.279
198	79.256
199	79.228
200	79.197
201	79.179
202	79.171
203	79.155
204	79.117
205	79.095
206	79.047
207	79.017
208	79.004
209	78.945
210	78.916
211	78.886
212	78.836
213	78.806
214	78.773
215	78.741
216	78.683
217	78.661
218	78.632
219	78.57
220	78.53
221	78.465
222	78.44
223	78.399
224	78.349
225	78.309
226	78.265
227	78.214
228	78.19
229	78.141
230	78.082
231	78.03
232	77.973
233	77.95
234	77.879
235	77.828
236	77.779
237	77.732
238	77.683
239	77.623
240	77.573
241	77.518
242	77.452
243	77.371
244	77.332
245	77.27
246	77.193
247	77.12
248	77.086
249	77.024
250	76.94
251	76.915
252	76.902
253	76.907
254	76.957
255	76.947
256	76.944
257	76.99
258	76.991
259	76.988
260	77.017
261	77.007
