Freq(Hz)	SPL(dB)
20	86.822
21	86.832
22	86.734
23	86.419
24	85.807
25	85.392
26	84.935
27	84.779
28	84.977
29	85.178
30	85.423
31	85.507
32	85.395
33	85.275
34	85.096
35	84.994
36	85.01
37	85.095
38	85.211
39	85.292
40	85.299
41	85.26
42	85.219
43	85.168
44	85.16
45	85.174
46	85.188
47	85.195
48	85.19
49	85.174
50	85.16
51	85.148
52	85.153
53	85.14
54	85.117
55	85.093
56	85.051
57	85.003
58	84.96
59	84.945
60	84.936
61	84.925
62	84.913
63	84.876
64	84.823
65	84.762
66	84.725
67	84.678
68	84.653
69	84.624
70	84.605
71	84.571
72	84.521
73	84.494
74	84.45
75	84.396
76	84.367
77	84.341
78	84.306
79	84.27
80	84.23
81	84.212
82	84.176
83	84.133
84	84.102
85	84.087
86	84.058
87	84.022
88	83.997
89	83.964
90	83.934
91	83.901
92	83.89
93	83.865
94	83.842
95	83.809
96	83.785
97	83.756
98	83.719
99	83.7
100	83.678
101	83.648
102	83.625
103	83.605
104	83.57
105	83.538
106	83.502
107	83.483
108	83.457
109	83.425
110	83.396
111	83.38
112	83.354
113	83.308
114	83.289
115	83.264
116	83.232
117	83.208
118	83.188
119	83.156
120	83.125
121	83.089
122	83.069
123	83.039
124	83.012
125	83.005
126	82.972
127	82.935
128	82.914
129	82.887
130	82.863
131	82.832
132	82.806
133	82.797
134	82.76
135	82.738
136	82.718
137	82.697
138	82.674
139	82.647
140	82.634
141	82.614
142	82.593
143	82.567
144	82.551
145	82.541
146	82.521
147	82.495
148	82.485
149	82.477
150	82.452
151	82.44
152	82.42
153	82.406
154	82.401
155	82.376
156	82.365
157	82.355
158	82.325
159	82.318
160	82.306
161	82.286
162	82.26
163	82.248
164	82.227
165	82.214
166	82.202
167	82.179
168	82.156
169	82.129
170	82.131
171	82.117
172	82.117
173	82.122
174	82.121
175	82.153
176	82.176
177	82.194
178	82.221
179	82.23
180	82.243
181	82.249
182	82.247
183	82.255
184	82.275
185	82.278
186	82.293
187	82.312
188	82.323
189	82.336
190	82.345
191	82.356
192	82.356
193	82.359
194	82.365
195	82.364
196	82.362
197	82.367
198	82.361
199	82.353
200	82.346
201	82.336
202	82.33
203	82.322
204	82.326
205	82.311
206	82.304
207	82.304
208	82.283
209	82.279
210	82.27
211	82.254
212	82.24
213	82.236
214	82.226
215	82.21
216	82.191
217	82.171
218	82.162
219	82.139
220	82.13
221	82.112
222	82.091
223	82.072
224	82.051
225	82.032
226	82.02
227	81.999
228	81.973
229	81.958
230	81.94
231	81.917
232	81.905
233	81.885
234	81.855
235	81.846
236	81.83
237	81.817
238	81.791
239	81.768
240	81.756
241	81.732
242	81.72
243	81.712
244	81.702
245	81.682
246	81.658
247	81.641
248	81.63
249	81.614
250	81.593
251	81.575
252	81.569
253	81.559
254	81.544
255	81.538
256	81.532
257	81.531
258	81.539
259	81.537
260	81.539
261	81.537
262	81.542
263	81.554
264	81.557
265	81.575
266	81.585
267	81.594
268	81.614
269	81.629
270	81.64
271	81.658
272	81.677
273	81.69
274	81.706
275	81.727
276	81.743
277	81.766
278	81.778
279	81.802
280	81.83
281	81.839
282	81.856
283	81.879
284	81.898
285	81.917
286	81.945
287	81.966
288	81.983
289	81.996
290	82.018
291	82.038
292	82.053
293	82.072
294	82.089
295	82.115
296	82.124
297	82.134
298	82.149
299	82.166
300	82.176
301	82.186
302	82.204
303	82.212
304	82.227
305	82.242
306	82.253
307	82.27
308	82.274
309	82.283
310	82.303
311	82.309
312	82.309
313	82.327
314	82.329
315	82.328
316	82.356
317	82.36
318	82.358
319	82.377
320	82.382
321	82.379
322	82.384
323	82.397
324	82.41
325	82.422
326	82.422
327	82.429
328	82.441
329	82.437
330	82.44
331	82.444
332	82.446
333	82.45
334	82.459
335	82.462
336	82.461
337	82.463
338	82.467
339	82.474
340	82.472
341	82.473
342	82.475
343	82.469
344	82.476
345	82.474
346	82.475
347	82.477
348	82.468
349	82.469
350	82.46
351	82.46
352	82.464
353	82.456
354	82.451
355	82.445
356	82.448
357	82.444
358	82.442
359	82.444
360	82.439
361	82.446
362	82.427
363	82.415
364	82.414
365	82.405
366	82.4
367	82.398
368	82.394
369	82.385
370	82.381
371	82.382
372	82.37
373	82.36
374	82.364
375	82.361
376	82.354
377	82.343
378	82.334
379	82.324
380	82.318
381	82.312
382	82.309
383	82.297
384	82.292
385	82.302
386	82.292
387	82.268
388	82.263
389	82.259
390	82.256
391	82.255
392	82.258
393	82.255
394	82.239
395	82.247
396	82.243
397	82.22
398	82.22
399	82.216
400	82.216
401	82.206
402	82.196
403	82.199
404	82.19
405	82.177
406	82.175
407	82.165
408	82.166
409	82.166
410	82.165
411	82.17
412	82.174
413	82.181
414	82.18
415	82.183
416	82.194
417	82.189
418	82.207
419	82.21
420	82.203
421	82.218
422	82.219
423	82.214
424	82.222
425	82.213
426	82.21
427	82.218
428	82.209
429	82.208
430	82.211
431	82.216
432	82.214
433	82.218
434	82.219
435	82.209
436	82.206
437	82.203
438	82.202
439	82.199
440	82.194
441	82.192
442	82.193
443	82.185
444	82.172
445	82.179
446	82.187
447	82.18
448	82.176
449	82.18
450	82.173
451	82.172
452	82.172
453	82.165
454	82.163
455	82.155
456	82.156
457	82.15
458	82.144
459	82.148
460	82.151
461	82.145
462	82.139
463	82.138
464	82.138
465	82.136
466	82.125
467	82.124
468	82.132
469	82.12
470	82.12
471	82.126
472	82.112
473	82.113
474	82.114
475	82.099
476	82.102
477	82.102
478	82.102
479	82.101
480	82.098
481	82.103
482	82.094
483	82.088
484	82.091
485	82.082
486	82.084
487	82.079
488	82.074
489	82.077
490	82.072
491	82.067
492	82.068
493	82.067
494	82.06
495	82.058
496	82.063
497	82.06
498	82.049
499	82.053
500	82.054
501	82.039
502	82.046
503	82.047
504	82.038
505	82.04
506	82.035
507	82.038
508	82.04
509	82.03
510	82.035
511	82.023
512	82.015
513	82.026
514	82.019
515	82.015
516	82.022
517	82.027
518	82.015
519	82.012
520	82.021
521	82.016
522	82.012
523	82.009
524	82.003
525	82.002
526	82.004
527	82.002
528	81.993
529	81.987
530	81.985
531	81.983
532	81.982
533	81.981
534	81.987
535	81.986
536	81.983
537	81.991
538	81.985
539	81.981
540	81.974
541	81.969
542	81.975
543	81.97
544	81.972
545	81.963
546	81.955
547	81.961
548	81.955
549	81.962
550	81.953
551	81.948
552	81.956
553	81.956
554	81.952
555	81.95
556	81.95
557	81.954
558	81.96
559	81.959
560	81.962
561	81.952
562	81.942
563	81.95
564	81.956
565	81.951
566	81.947
567	81.943
568	81.949
569	81.95
570	81.948
571	81.954
572	81.953
573	81.957
574	81.95
575	81.947
576	81.961
577	81.955
578	81.953
579	81.969
580	81.967
581	81.967
582	81.971
583	81.971
584	81.975
585	81.981
586	81.984
587	81.984
588	81.985
589	81.987
590	81.998
591	81.997
592	82.002
593	82.004
594	82.008
595	82.021
596	82.019
597	82.021
598	82.023
599	82.026
600	82.031
601	82.039
602	82.041
603	82.047
604	82.055
605	82.049
606	82.051
607	82.063
608	82.07
609	82.076
610	82.083
611	82.084
612	82.088
613	82.094
614	82.107
615	82.111
616	82.089
617	82.104
618	82.119
