Freq(Hz)	SPL(dB)
20	87.131
21	87.184
22	87.175
23	86.982
24	86.587
25	86.278
26	85.925
27	85.704
28	85.637
29	85.666
30	85.706
31	85.711
32	85.645
33	85.576
34	85.475
35	85.401
36	85.388
37	85.398
38	85.428
39	85.445
40	85.438
41	85.416
42	85.385
43	85.36
44	85.355
45	85.355
46	85.354
47	85.357
48	85.362
49	85.35
50	85.345
51	85.345
52	85.34
53	85.33
54	85.311
55	85.289
56	85.251
57	85.207
58	85.17
59	85.147
60	85.117
61	85.083
62	85.059
63	85.014
64	84.956
65	84.895
66	84.859
67	84.807
68	84.769
69	84.73
70	84.702
71	84.666
72	84.62
73	84.589
74	84.558
75	84.521
76	84.49
77	84.469
78	84.435
79	84.419
80	84.397
81	84.371
82	84.346
83	84.33
84	84.311
85	84.298
86	84.279
87	84.257
88	84.239
89	84.214
90	84.19
91	84.165
92	84.154
93	84.138
94	84.115
95	84.087
96	84.074
97	84.043
98	84.011
99	83.997
100	83.973
101	83.951
102	83.928
103	83.909
104	83.876
105	83.853
106	83.828
107	83.806
108	83.771
109	83.74
110	83.714
111	83.69
112	83.661
113	83.621
114	83.596
115	83.578
116	83.549
117	83.515
118	83.497
119	83.468
120	83.437
121	83.404
122	83.388
123	83.367
124	83.342
125	83.328
126	83.297
127	83.273
128	83.253
129	83.235
130	83.21
131	83.182
132	83.159
133	83.142
134	83.121
135	83.1
136	83.075
137	83.062
138	83.041
139	83.016
140	83
141	82.984
142	82.971
143	82.95
144	82.933
145	82.922
146	82.911
147	82.892
148	82.887
149	82.872
150	82.861
151	82.857
152	82.843
153	82.837
154	82.83
155	82.823
156	82.819
157	82.815
158	82.804
159	82.802
160	82.796
161	82.783
162	82.782
163	82.784
164	82.779
165	82.778
166	82.78
167	82.779
168	82.789
169	82.784
170	82.782
171	82.784
172	82.782
173	82.786
174	82.781
175	82.78
176	82.783
177	82.778
178	82.776
179	82.769
180	82.762
181	82.756
182	82.746
183	82.747
184	82.736
185	82.733
186	82.733
187	82.727
188	82.724
189	82.715
190	82.721
191	82.721
192	82.716
193	82.718
194	82.708
195	82.703
196	82.703
197	82.706
198	82.696
199	82.691
200	82.689
201	82.675
202	82.683
203	82.679
204	82.664
205	82.656
206	82.65
207	82.647
208	82.639
209	82.631
210	82.625
211	82.625
212	82.618
213	82.605
214	82.592
215	82.565
216	82.557
217	82.556
218	82.541
219	82.52
220	82.508
221	82.484
222	82.474
223	82.466
224	82.445
225	82.419
226	82.402
227	82.383
228	82.368
229	82.349
230	82.326
231	82.3
232	82.274
233	82.267
234	82.243
235	82.225
236	82.199
237	82.177
238	82.159
239	82.142
240	82.132
241	82.105
242	82.093
243	82.077
244	82.057
245	82.039
246	82.012
247	81.993
248	81.989
249	81.966
250	81.93
251	81.912
252	81.907
253	81.896
254	81.881
255	81.877
256	81.878
257	81.882
258	81.889
259	81.886
260	81.887
261	81.892
262	81.906
263	81.915
264	81.911
265	81.932
266	81.949
267	81.955
268	81.974
269	81.989
270	82.001
271	82.027
272	82.04
273	82.057
274	82.072
275	82.094
276	82.126
277	82.149
278	82.172
279	82.194
280	82.211
281	82.239
282	82.267
283	82.303
284	82.334
285	82.348
286	82.377
287	82.402
288	82.431
289	82.448
290	82.473
291	82.496
292	82.511
293	82.543
294	82.571
295	82.594
296	82.613
297	82.643
298	82.669
299	82.689
300	82.704
301	82.731
302	82.749
303	82.771
304	82.792
305	82.814
306	82.837
307	82.853
308	82.868
