Freq(Hz)	SPL(dB)
20	82.572
21	82.631
22	82.596
23	82.398
24	82.125
25	81.93
26	81.893
27	82.003
28	82.15
29	82.235
30	82.298
31	82.269
32	82.221
33	82.17
34	82.095
35	82.037
36	82.078
37	82.155
38	82.192
39	82.152
40	82.064
41	81.873
42	81.696
43	81.634
44	81.755
45	82.228
46	82.789
47	83.053
48	83.285
49	83.435
50	83.439
51	83.403
52	83.39
53	83.344
54	83.302
55	83.277
56	83.238
57	83.222
58	83.243
59	83.258
60	83.307
61	83.35
62	83.372
63	83.417
64	83.422
65	83.404
66	83.42
67	83.435
68	83.439
69	83.449
70	83.44
71	83.445
72	83.438
73	83.423
74	83.414
75	83.404
76	83.409
77	83.414
78	83.415
79	83.397
80	83.402
81	83.398
82	83.378
83	83.37
84	83.348
85	83.344
86	83.346
87	83.328
88	83.318
89	83.305
90	83.302
91	83.282
92	83.281
93	83.295
94	83.311
95	83.337
96	83.333
97	83.33
98	83.32
99	83.325
100	83.336
101	83.285
102	83.307
103	83.325
104	83.312
105	83.321
106	83.314
107	83.308
108	83.308
109	83.301
110	83.308
111	83.314
112	83.32
113	83.347
114	83.347
115	83.329
116	83.339
117	83.354
118	83.358
119	83.282
120	83.251
121	83.332
122	83.342
123	83.332
124	83.356
125	83.357
126	83.354
127	83.368
128	83.37
129	83.38
130	83.38
131	83.38
132	83.388
133	83.382
134	83.379
135	83.401
136	83.392
137	83.401
138	83.401
139	83.376
140	83.402
141	83.405
142	83.418
143	83.427
144	83.407
145	83.429
146	83.45
147	83.449
148	83.449
149	83.437
150	83.445
151	83.455
152	83.448
153	83.458
154	83.467
155	83.47
156	83.487
157	83.475
158	83.49
159	83.508
160	83.489
161	83.487
162	83.49
163	83.495
164	83.498
165	83.5
166	83.515
167	83.51
168	83.523
169	83.517
170	83.515
171	83.527
172	83.537
173	83.541
174	83.546
175	83.561
176	83.546
177	83.573
178	83.58
179	83.558
180	83.596
181	83.591
182	83.586
183	83.582
184	83.587
185	83.61
186	83.621
187	83.621
188	83.624
189	83.637
190	83.658
191	83.642
192	83.645
193	83.668
194	83.683
195	83.697
196	83.704
197	83.712
198	83.718
199	83.739
200	83.737
201	83.726
202	83.727
203	83.739
204	83.756
205	83.761
206	83.773
207	83.777
208	83.814
209	83.851
210	83.831
211	83.804
212	83.807
213	83.829
214	83.839
215	83.846
216	83.852
217	83.875
218	83.873
219	83.871
220	83.873
221	83.9
222	83.91
223	83.901
224	83.913
225	83.931
226	83.932
227	83.934
228	83.951
229	83.953
230	83.963
231	83.979
232	83.988
233	83.997
234	83.997
235	84.003
236	84.025
237	84.028
238	84.035
239	84.047
240	84.05
241	84.054
242	84.063
243	84.075
244	84.077
245	84.098
246	84.117
247	84.11
248	84.115
249	84.106
250	84.118
251	84.125
252	84.136
253	84.168
254	84.169
255	84.188
256	84.196
257	84.186
258	84.177
259	84.191
260	84.221
261	84.206
262	84.223
263	84.236
264	84.238
265	84.249
266	84.258
267	84.257
268	84.256
269	84.268
270	84.274
271	84.287
272	84.298
273	84.3
274	84.297
275	84.297
276	84.335
277	84.325
278	84.332
279	84.381
280	84.355
281	84.365
282	84.405
283	84.403
284	84.433
285	84.44
286	84.44
287	84.463
288	84.457
289	84.469
290	84.5
291	84.502
292	84.512
293	84.534
294	84.542
295	84.547
296	84.565
297	84.548
298	84.555
299	84.563
300	84.556
301	84.563
302	84.531
303	84.523
304	84.511
305	84.533
306	84.541
307	84.535
308	84.544
309	84.538
310	84.536
311	84.511
312	84.538
313	84.572
314	84.575
315	84.579
316	84.572
317	84.555
318	84.537
319	84.537
320	84.534
321	84.521
322	84.523
323	84.544
324	84.541
325	84.542
326	84.549
327	84.563
328	84.568
329	84.547
330	84.568
331	84.573
332	84.553
333	84.559
334	84.565
335	84.594
336	84.613
337	84.62
338	84.643
339	84.669
340	84.686
341	84.688
342	84.656
343	84.707
344	84.745
345	84.765
346	84.773
347	84.788
348	84.818
349	84.796
350	84.8
351	84.809
352	84.802
353	84.797
354	84.82
355	84.813
356	84.83
357	84.869
358	84.885
359	84.918
360	84.925
361	84.944
362	84.951
363	84.967
364	85.009
365	85.021
366	85.042
367	85.052
368	85.094
369	85.117
370	85.124
371	85.144
372	85.139
373	85.158
374	85.167
375	85.175
376	85.186
377	85.188
378	85.193
379	85.197
380	85.22
381	85.234
382	85.237
383	85.257
384	85.272
385	85.268
386	85.28
387	85.3
388	85.299
389	85.328
390	85.348
391	85.354
392	85.378
393	85.372
394	85.379
395	85.403
396	85.416
397	85.427
398	85.438
399	85.434
400	85.422
401	85.419
402	85.419
403	85.402
404	85.401
405	85.385
406	85.358
407	85.357
408	85.349
409	85.343
410	85.341
411	85.342
412	85.352
413	85.367
414	85.363
415	85.344
416	85.329
417	85.317
418	85.297
419	85.283
420	85.262
421	85.252
422	85.255
423	85.249
424	85.224
425	85.209
426	85.201
427	85.182
428	85.176
429	85.161
430	85.139
431	85.13
432	85.11
433	85.084
434	85.076
435	85.047
436	85.032
437	85.019
438	84.985
