Freq(Hz)	SPL(dB)
20	81.415
21	81.436
22	81.474
23	81.365
24	81.235
25	81.165
26	81.105
27	81.11
28	81.091
29	81.059
30	80.99
31	80.923
32	81.056
33	81.189
34	81.366
35	81.377
36	81.348
37	81.351
38	81.296
39	81.195
40	81.047
41	80.821
42	80.643
43	80.826
44	81.402
45	82.219
46	82.62
47	82.791
48	82.966
49	83.004
50	82.962
51	82.936
52	82.874
53	82.802
54	82.735
55	82.716
56	82.71
57	82.711
58	82.739
59	82.759
60	82.807
61	82.854
62	82.868
63	82.882
64	82.886
65	82.866
66	82.855
67	82.85
68	82.849
69	82.849
70	82.85
71	82.849
72	82.841
73	82.839
74	82.848
75	82.829
76	82.827
77	82.827
78	82.808
79	82.804
80	82.806
81	82.807
82	82.765
83	82.752
84	82.766
85	82.756
86	82.75
87	82.744
88	82.741
89	82.734
90	82.728
91	82.718
92	82.71
93	82.713
94	82.735
95	82.749
96	82.743
97	82.761
98	82.76
99	82.752
100	82.786
101	82.743
102	82.723
103	82.761
104	82.761
105	82.755
106	82.76
107	82.748
108	82.754
109	82.741
110	82.735
111	82.748
112	82.738
113	82.724
114	82.732
115	82.745
116	82.732
117	82.759
118	82.767
119	82.721
120	82.723
121	82.728
122	82.743
123	82.743
124	82.764
125	82.795
126	82.772
127	82.802
128	82.792
129	82.771
130	82.789
131	82.795
132	82.796
133	82.792
134	82.799
135	82.815
136	82.798
137	82.801
138	82.815
139	82.827
140	82.857
141	82.845
142	82.806
143	82.831
144	82.834
145	82.825
146	82.842
147	82.847
148	82.85
149	82.862
150	82.858
151	82.861
152	82.864
153	82.867
154	82.868
155	82.866
156	82.875
157	82.858
158	82.866
159	82.873
160	82.88
161	82.887
162	82.873
163	82.901
164	82.922
165	82.916
166	82.918
167	82.92
168	82.933
169	82.903
170	82.906
171	82.944
172	82.946
173	82.944
174	82.954
175	82.945
176	82.958
177	82.969
178	82.955
179	82.973
180	82.971
181	82.979
182	82.987
183	82.982
184	82.99
185	82.989
186	83.01
187	83.002
188	82.999
189	83.029
190	83.026
191	83.04
192	83.061
193	83.06
194	83.054
