Freq(Hz)	SPL(dB)
20	78.574
21	78.701
22	79.031
23	79.318
24	79.431
25	79.522
26	79.666
27	79.894
28	80.056
29	80.184
30	80.374
31	80.532
32	80.659
33	80.649
34	80.959
35	80.832
36	80.651
37	80.938
38	80.909
39	80.926
40	81.055
41	81.145
42	81.272
43	81.205
44	81.273
45	81.559
46	81.494
47	81.567
48	81.583
49	81.491
50	81.978
51	82.005
52	81.85
53	81.8
54	81.71
55	81.872
56	82.1
57	82.044
58	81.861
59	81.969
60	82.176
61	82.078
62	82.055
63	82.105
64	82.157
65	82.094
66	82.083
67	82.128
68	82.049
69	82.085
70	82.191
71	82.262
72	82.279
73	82.307
74	82.313
75	82.327
76	82.342
77	82.348
78	82.375
79	82.403
80	82.419
81	82.434
82	82.455
83	82.41
84	82.501
85	82.509
86	82.425
87	82.519
88	82.555
89	82.603
90	82.71
91	82.661
92	82.595
93	82.559
94	82.674
95	82.697
96	82.647
97	82.716
98	82.734
99	82.747
100	82.794
101	82.752
102	82.753
103	82.775
104	82.834
105	82.831
106	82.834
107	82.883
108	82.884
109	82.884
110	82.901
111	82.883
112	82.928
113	82.905
114	82.945
115	82.971
116	82.92
117	82.992
118	83.004
119	83.018
120	82.979
121	82.993
122	82.987
123	83.031
124	82.97
125	82.994
126	83.076
127	82.903
128	83.1
129	82.948
130	82.79
131	83.096
132	82.761
133	82.723
134	82.951
135	83.079
136	83.101
137	83.053
138	83.062
139	83.06
140	83.027
141	83.04
142	83.085
143	83.112
144	83.109
145	83.018
146	83.079
147	83.065
148	83.036
149	83.062
150	83.029
151	83.026
152	83.014
153	82.999
154	83.002
155	83.024
156	83.024
157	83.011
158	83.023
159	83.003
160	82.991
161	82.999
162	82.997
163	83.005
164	83.023
165	83.02
166	83.02
167	83.002
168	82.999
169	83.052
170	83.048
171	83.026
172	83.059
173	83.028
174	83.024
175	83.105
176	83.096
177	83.092
178	83.137
179	83.135
180	83.115
181	83.131
182	83.161
183	83.194
184	83.153
185	83.099
186	83.157
187	83.155
188	83.195
189	83.208
190	83.14
191	83.217
192	83.227
193	83.269
194	83.276
195	83.241
196	83.272
197	83.287
198	83.256
199	83.265
200	83.259
201	83.266
202	83.27
203	83.267
204	83.279
205	83.303
206	83.31
207	83.321
208	83.272
209	83.244
210	83.27
211	83.241
212	83.246
213	83.278
214	83.276
215	83.269
216	83.283
217	83.294
218	83.289
219	83.283
220	83.3
221	83.305
222	83.301
223	83.294
224	83.327
225	83.334
226	83.316
227	83.315
228	83.311
229	83.314
230	83.31
231	83.304
232	83.311
233	83.329
234	83.318
235	83.294
236	83.33
237	83.347
238	83.331
239	83.314
240	83.322
241	83.339
242	83.327
243	83.318
244	83.326
245	83.297
246	83.305
247	83.329
248	83.316
249	83.304
250	83.31
251	83.313
252	83.313
253	83.299
254	83.301
255	83.316
256	83.302
257	83.291
258	83.302
259	83.279
260	83.266
261	83.29
262	83.275
263	83.294
264	83.288
265	83.256
266	83.275
267	83.268
268	83.275
269	83.307
270	83.292
271	83.286
272	83.285
273	83.279
274	83.283
275	83.283
276	83.305
277	83.253
278	83.235
279	83.263
280	83.236
281	83.239
282	83.244
283	83.214
284	83.226
285	83.225
286	83.228
287	83.211
288	83.205
289	83.213
290	83.191
291	83.187
292	83.193
293	83.188
294	83.178
295	83.15
296	83.138
297	83.151
298	83.14
299	83.117
300	83.116
301	83.102
302	83.107
303	83.122
304	83.116
305	83.099
306	83.075
307	83.078
308	83.069
309	83.039
310	83.037
311	83.056
312	83.047
313	83.031
314	83.054
315	83.02
316	83
317	83.019
318	82.996
319	82.99
320	83.008
321	82.968
322	82.971
323	82.984
324	82.976
325	82.982
326	82.977
327	82.972
328	82.985
329	83.018
330	83.021
331	82.985
332	82.978
333	82.998
334	83
335	83.002
336	82.99
337	82.983
338	83.015
339	83.017
340	82.995
341	82.998
342	83.009
343	82.979
344	82.983
345	83.001
346	82.982
347	82.996
348	82.993
349	83.006
350	83.019
351	82.995
352	82.999
353	83.019
354	83.021
355	83.006
356	82.972
357	82.958
358	82.993
359	82.986
360	82.97
361	82.965
362	82.949
