Freq(Hz)	SPL(dB)
20	78.289
21	78.506
22	78.914
23	79.204
24	79.372
25	79.469
26	79.671
27	79.864
28	80.125
29	80.302
30	80.553
31	80.723
32	80.868
33	80.946
34	81.007
35	81.122
36	81.164
37	81.275
38	81.431
39	81.568
40	81.626
41	81.696
42	81.827
43	81.782
44	81.817
45	81.966
46	81.999
47	82.082
48	82.181
49	82.2
50	82.367
51	82.379
52	82.399
53	82.566
54	82.647
55	82.626
56	82.556
57	82.619
58	82.673
59	82.685
60	82.706
61	82.721
62	82.722
63	82.727
64	82.737
65	82.723
66	82.724
67	82.746
68	82.747
69	82.744
70	82.761
71	82.792
72	82.809
73	82.826
74	82.852
75	82.86
76	82.87
77	82.865
78	82.874
79	82.873
80	82.875
81	82.905
82	82.914
83	82.936
84	82.96
85	82.956
86	82.994
87	83.024
88	83.037
89	83.049
90	83.057
91	83.076
92	83.092
93	83.127
94	83.12
95	83.182
96	83.199
97	83.16
98	83.211
99	83.239
100	83.232
101	83.239
102	83.271
103	83.286
104	83.293
105	83.314
106	83.333
107	83.342
108	83.356
109	83.368
110	83.382
111	83.388
112	83.4
113	83.401
114	83.405
115	83.429
116	83.422
117	83.446
118	83.469
119	83.449
120	83.459
121	83.479
122	83.483
123	83.471
124	83.459
125	83.471
126	83.462
127	83.462
128	83.476
129	83.464
130	83.487
131	83.503
132	83.49
133	83.512
134	83.514
135	83.515
136	83.54
137	83.553
138	83.547
139	83.536
140	83.541
141	83.543
142	83.553
143	83.54
144	83.528
145	83.539
146	83.537
147	83.524
148	83.532
149	83.52
150	83.524
151	83.539
152	83.523
153	83.507
154	83.506
155	83.506
156	83.506
157	83.487
158	83.482
159	83.482
160	83.477
161	83.473
162	83.472
163	83.475
164	83.468
165	83.492
166	83.499
167	83.501
168	83.528
169	83.532
170	83.54
171	83.54
172	83.554
173	83.557
174	83.557
175	83.579
176	83.583
177	83.599
178	83.605
179	83.607
180	83.624
181	83.622
182	83.635
183	83.635
184	83.635
185	83.64
186	83.653
187	83.669
188	83.661
189	83.666
190	83.672
191	83.68
192	83.69
193	83.679
