Freq(Hz)	SPL(dB)
20	80.921
21	81.057
22	81.296
23	81.472
24	81.625
25	81.681
26	81.813
27	81.95
28	82.11
29	82.231
30	82.402
31	82.505
32	82.553
33	82.575
34	82.635
35	82.722
36	82.742
37	82.791
38	82.939
39	82.983
40	83.019
41	83.049
42	83.092
43	83.069
44	83.093
45	83.193
46	83.202
47	83.303
48	83.317
49	83.391
50	83.458
51	83.419
52	83.539
53	83.499
54	83.492
55	83.549
56	83.528
57	83.516
58	83.556
59	83.565
60	83.533
61	83.513
62	83.532
63	83.541
64	83.487
65	83.485
66	83.491
67	83.508
68	83.536
69	83.526
70	83.549
71	83.585
72	83.618
73	83.628
74	83.616
75	83.644
76	83.666
77	83.688
78	83.733
79	83.758
80	83.768
81	83.784
82	83.813
83	83.83
84	83.858
85	83.87
86	83.891
87	83.893
88	83.927
89	83.962
90	83.968
91	83.991
92	83.997
93	84.018
94	84.029
95	84.056
96	84.065
97	84.094
98	84.114
99	84.119
100	84.139
101	84.156
102	84.167
103	84.184
104	84.2
105	84.212
106	84.229
107	84.227
108	84.247
109	84.262
110	84.266
111	84.27
112	84.291
113	84.319
114	84.316
115	84.332
116	84.333
117	84.327
118	84.351
119	84.352
120	84.342
121	84.371
122	84.371
123	84.36
124	84.377
125	84.385
126	84.38
127	84.38
128	84.39
129	84.391
130	84.394
131	84.393
132	84.398
133	84.411
134	84.407
135	84.403
136	84.406
137	84.413
138	84.411
139	84.4
140	84.402
141	84.404
142	84.398
143	84.384
144	84.398
145	84.403
146	84.381
147	84.388
148	84.381
149	84.37
150	84.357
151	84.351
152	84.36
153	84.353
154	84.347
155	84.349
156	84.343
157	84.337
158	84.316
159	84.313
160	84.335
161	84.322
162	84.313
163	84.315
164	84.324
165	84.327
166	84.32
167	84.317
168	84.329
169	84.346
170	84.353
171	84.356
172	84.356
173	84.368
174	84.377
175	84.388
176	84.395
177	84.402
178	84.409
179	84.414
180	84.428
181	84.43
182	84.447
183	84.458
184	84.466
185	84.473
186	84.478
187	84.485
188	84.483
189	84.489
190	84.503
191	84.508
192	84.514
193	84.524
194	84.53
195	84.544
196	84.551
197	84.559
198	84.564
199	84.563
200	84.574
201	84.579
202	84.574
203	84.584
204	84.582
205	84.594
206	84.615
207	84.608
208	84.609
209	84.609
210	84.621
211	84.632
212	84.632
213	84.638
214	84.645
215	84.65
216	84.646
217	84.662
218	84.655
219	84.644
220	84.668
221	84.663
222	84.667
223	84.673
224	84.669
225	84.685
226	84.682
227	84.688
228	84.696
229	84.698
230	84.707
231	84.699
232	84.714
233	84.719
234	84.717
235	84.717
236	84.729
237	84.733
238	84.733
239	84.743
240	84.736
241	84.739
242	84.748
243	84.745
244	84.761
245	84.761
246	84.754
