Freq(Hz)	SPL(dB)
20	80.851
21	80.946
22	81.275
23	81.554
24	81.675
25	81.776
26	81.96
27	82.15
28	82.361
29	82.499
30	82.566
31	82.608
32	82.717
33	82.7
34	82.734
35	82.869
36	82.93
37	83.026
38	83.115
39	83.217
40	83.256
41	83.286
42	83.33
43	83.344
44	83.368
45	83.424
46	83.496
47	83.533
48	83.598
49	83.685
50	83.739
51	83.768
52	83.807
53	83.851
54	83.859
55	83.843
56	83.854
57	83.84
58	83.863
59	83.871
60	83.85
61	83.921
62	83.907
63	83.862
64	83.887
65	83.879
66	83.898
67	83.843
68	83.865
69	83.916
70	83.91
71	83.939
72	83.948
73	83.959
74	83.984
75	83.989
76	83.995
77	84.012
78	84.025
79	84.032
80	84.059
81	84.079
82	84.105
83	84.112
84	84.133
85	84.149
86	84.17
87	84.2
88	84.226
89	84.247
90	84.266
91	84.304
92	84.314
93	84.328
94	84.357
95	84.369
96	84.376
97	84.388
98	84.396
99	84.407
100	84.422
101	84.424
102	84.428
103	84.439
104	84.456
105	84.472
106	84.477
107	84.481
108	84.499
109	84.501
110	84.515
111	84.525
112	84.536
113	84.535
114	84.541
115	84.558
116	84.552
117	84.568
118	84.581
119	84.586
120	84.584
121	84.616
122	84.618
123	84.588
124	84.619
125	84.634
126	84.619
127	84.621
128	84.623
129	84.618
130	84.613
131	84.623
132	84.634
133	84.63
134	84.625
135	84.629
136	84.633
137	84.634
138	84.65
139	84.659
140	84.652
141	84.647
142	84.636
143	84.643
144	84.65
145	84.644
146	84.635
147	84.64
148	84.641
149	84.622
150	84.613
151	84.609
152	84.603
153	84.581
154	84.577
155	84.586
156	84.576
157	84.568
158	84.555
159	84.541
160	84.535
161	84.526
162	84.524
163	84.527
164	84.524
165	84.519
166	84.52
167	84.516
168	84.506
169	84.516
170	84.519
171	84.516
172	84.524
173	84.525
174	84.517
175	84.511
176	84.516
177	84.519
178	84.521
179	84.518
180	84.523
181	84.534
182	84.554
183	84.571
184	84.577
185	84.58
186	84.587
187	84.595
188	84.6
189	84.598
190	84.601
191	84.599
192	84.602
193	84.614
194	84.629
195	84.651
196	84.658
197	84.662
198	84.666
199	84.664
200	84.661
201	84.665
202	84.659
203	84.661
204	84.676
205	84.686
206	84.698
207	84.698
208	84.7
209	84.704
210	84.693
211	84.695
212	84.695
213	84.701
214	84.711
215	84.709
216	84.723
217	84.731
218	84.735
219	84.732
220	84.712
221	84.703
222	84.702
