Freq(Hz)	SPL(dB)
20	77.938
21	78.077
22	78.356
23	78.477
24	78.618
25	78.716
26	78.861
27	79.019
28	79.224
29	79.344
30	79.504
31	79.633
32	79.695
33	79.717
34	79.795
35	79.852
36	79.902
37	80.021
38	80.146
39	80.206
40	80.209
41	80.255
42	80.32
43	80.334
44	80.332
45	80.391
46	80.435
47	80.467
48	80.533
49	80.638
50	80.685
51	80.674
52	80.748
53	80.791
54	80.843
55	80.865
56	80.89
57	80.906
58	80.899
59	80.934
60	80.967
61	80.972
62	80.974
63	80.982
64	80.988
65	80.958
66	80.947
67	80.933
68	80.942
69	80.953
70	80.96
71	80.985
72	80.991
73	81.008
74	81.037
75	81.053
76	81.065
77	81.074
78	81.1
79	81.112
80	81.122
81	81.133
82	81.173
83	81.196
84	81.198
85	81.199
86	81.228
87	81.272
88	81.299
89	81.306
90	81.308
91	81.353
92	81.366
93	81.394
94	81.406
95	81.418
96	81.436
97	81.437
98	81.456
99	81.479
100	81.495
101	81.52
102	81.541
103	81.548
104	81.571
105	81.587
106	81.597
107	81.612
108	81.625
109	81.634
110	81.666
111	81.681
112	81.675
113	81.683
114	81.689
115	81.684
116	81.693
117	81.704
118	81.709
119	81.714
120	81.719
121	81.732
122	81.733
123	81.739
124	81.752
125	81.749
126	81.743
127	81.748
128	81.747
129	81.755
130	81.762
131	81.772
132	81.772
133	81.763
134	81.778
135	81.784
136	81.766
137	81.778
138	81.78
139	81.782
140	81.785
141	81.776
142	81.798
143	81.786
144	81.8
145	81.796
146	81.787
147	81.793
148	81.766
149	81.774
150	81.776
151	81.774
152	81.791
153	81.774
154	81.772
155	81.776
156	81.76
157	81.753
158	81.751
159	81.752
160	81.757
161	81.747
162	81.752
163	81.748
164	81.745
165	81.748
166	81.736
167	81.747
168	81.747
169	81.759
170	81.77
171	81.762
172	81.786
173	81.789
174	81.801
175	81.813
176	81.811
177	81.829
178	81.842
179	81.849
180	81.861
181	81.881
182	81.882
183	81.884
184	81.914
185	81.912
186	81.925
187	81.924
188	81.925
189	81.944
190	81.948
191	81.943
192	81.957
193	81.977
194	81.958
195	81.982
196	81.99
197	81.985
198	82.025
199	82.046
200	82.037
201	82.038
202	82.042
203	82.036
204	82.043
205	82.052
206	82.07
207	82.071
208	82.065
209	82.075
210	82.074
211	82.072
212	82.082
213	82.085
214	82.076
215	82.089
216	82.085
217	82.075
218	82.087
219	82.093
220	82.11
221	82.091
222	82.093
223	82.119
224	82.107
225	82.12
226	82.116
227	82.118
228	82.133
229	82.129
230	82.14
231	82.139
232	82.144
233	82.154
234	82.158
235	82.158
236	82.165
237	82.164
238	82.163
239	82.172
240	82.173
241	82.183
242	82.181
243	82.183
244	82.195
245	82.199
246	82.204
247	82.217
248	82.216
249	82.21
250	82.234
251	82.228
252	82.229
253	82.248
254	82.257
255	82.266
256	82.267
257	82.281
258	82.275
259	82.272
260	82.281
261	82.274
262	82.289
263	82.291
264	82.29
265	82.31
266	82.316
267	82.319
268	82.325
269	82.336
270	82.337
271	82.337
272	82.355
273	82.354
274	82.36
275	82.363
276	82.352
277	82.376
278	82.379
279	82.374
280	82.38
281	82.37
282	82.376
283	82.394
284	82.388
285	82.396
286	82.4
287	82.403
288	82.422
289	82.432
290	82.432
291	82.428
292	82.43
293	82.425
294	82.446
295	82.451
296	82.443
297	82.453
298	82.458
299	82.465
300	82.473
301	82.47
302	82.464
303	82.482
304	82.492
305	82.487
306	82.495
307	82.501
308	82.506
309	82.512
310	82.525
311	82.533
312	82.534
313	82.539
314	82.55
315	82.559
316	82.572
317	82.575
318	82.576
319	82.583
320	82.591
321	82.593
322	82.589
323	82.604
324	82.626
325	82.634
326	82.644
327	82.65
328	82.649
329	82.667
330	82.667
331	82.682
332	82.697
333	82.691
334	82.716
335	82.721
336	82.714
337	82.723
338	82.745
339	82.755
340	82.75
341	82.762
342	82.768
343	82.771
344	82.792
345	82.808
346	82.794
347	82.802
348	82.814
349	82.824
350	82.835
351	82.846
352	82.85
353	82.861
354	82.87
355	82.872
356	82.875
357	82.882
358	82.879
359	82.881
360	82.893
361	82.906
362	82.907
363	82.907
364	82.911
365	82.912
366	82.917
367	82.93
368	82.946
369	82.942
370	82.951
371	82.964
372	82.97
373	82.968
374	82.971
375	82.991
376	82.99
377	82.993
378	82.996
379	82.994
380	82.998
381	83.007
382	83.007
383	83.02
384	83.027
385	83.017
386	83.016
387	83.005
388	83.005
389	82.993
390	82.982
391	83.004
392	82.989
393	82.989
394	82.976
395	82.976
396	82.978
397	82.964
398	82.971
399	82.959
400	82.949
401	82.953
402	82.96
403	82.935
404	82.928
405	82.935
406	82.917
407	82.912
408	82.909
409	82.909
410	82.92
411	82.924
412	82.926
413	82.927
414	82.938
415	82.954
416	82.976
417	82.979
418	83.004
419	83.018
420	83.021
421	83.046
422	83.051
423	83.079
424	83.102
425	83.108
426	83.132
427	83.142
428	83.153
429	83.168
430	83.167
431	83.167
432	83.166
433	83.16
434	83.177
435	83.206
436	83.217
437	83.225
438	83.229
439	83.24
440	83.257
441	83.262
442	83.265
443	83.277
444	83.294
445	83.299
446	83.294
447	83.301
448	83.315
449	83.309
450	83.31
451	83.321
452	83.316
453	83.315
454	83.315
455	83.306
456	83.309
457	83.324
458	83.327
459	83.329
460	83.337
461	83.337
462	83.329
463	83.337
464	83.343
465	83.344
466	83.355
467	83.355
468	83.37
469	83.389
470	83.379
471	83.378
472	83.381
473	83.394
474	83.391
475	83.391
476	83.412
477	83.404
478	83.404
479	83.422
480	83.421
481	83.418
482	83.422
483	83.43
484	83.432
485	83.439
486	83.447
487	83.451
488	83.454
489	83.451
490	83.442
491	83.427
492	83.435
493	83.439
494	83.439
495	83.447
496	83.446
497	83.457
498	83.466
499	83.461
500	83.459
501	83.446
502	83.451
503	83.465
504	83.468
505	83.464
506	83.465
507	83.474
508	83.468
509	83.477
510	83.48
511	83.486
512	83.494
513	83.487
514	83.485
515	83.487
516	83.487
517	83.479
518	83.468
519	83.464
520	83.479
521	83.491
522	83.492
523	83.496
524	83.504
525	83.512
526	83.515
527	83.523
528	83.53
529	83.529
530	83.526
531	83.523
532	83.536
533	83.525
534	83.527
535	83.552
536	83.534
537	83.518
538	83.528
539	83.532
