Freq(Hz)	SPL(dB)
20	77.468
21	77.614
22	77.789
23	78.073
24	78.233
25	78.258
26	78.405
27	78.584
28	78.788
29	78.909
30	79.139
31	79.267
32	79.386
33	79.436
34	79.474
35	79.571
36	79.605
37	79.716
38	79.813
39	79.91
40	79.969
41	79.982
42	80.043
43	80.082
44	80.12
45	80.193
46	80.261
47	80.32
48	80.387
49	80.427
50	80.476
51	80.512
52	80.57
53	80.615
54	80.633
55	80.619
56	80.615
57	80.655
58	80.671
59	80.678
60	80.707
61	80.742
62	80.739
63	80.755
64	80.775
65	80.746
66	80.748
67	80.761
68	80.794
69	80.813
70	80.818
71	80.831
72	80.844
73	80.854
74	80.859
75	80.874
76	80.9
77	80.906
78	80.912
79	80.928
80	80.956
81	80.979
82	80.996
83	81.019
84	81.042
85	81.06
86	81.088
87	81.114
88	81.134
89	81.143
90	81.179
91	81.215
92	81.217
93	81.246
94	81.262
95	81.264
96	81.285
97	81.302
98	81.32
99	81.338
100	81.35
101	81.357
102	81.378
103	81.388
104	81.4
105	81.411
106	81.415
107	81.42
108	81.424
109	81.442
110	81.452
111	81.461
112	81.482
113	81.485
114	81.489
115	81.495
116	81.501
117	81.512
118	81.501
119	81.487
120	81.519
121	81.514
122	81.519
123	81.527
124	81.516
125	81.529
126	81.525
127	81.522
128	81.539
129	81.533
130	81.52
131	81.503
132	81.518
133	81.529
134	81.523
135	81.531
136	81.54
137	81.543
138	81.533
139	81.532
140	81.538
141	81.545
142	81.536
143	81.529
144	81.55
145	81.554
146	81.531
147	81.541
148	81.544
149	81.536
150	81.554
151	81.552
152	81.532
153	81.549
154	81.553
155	81.559
156	81.549
157	81.538
158	81.558
159	81.55
160	81.529
161	81.508
162	81.522
163	81.517
164	81.507
165	81.529
166	81.522
167	81.513
168	81.509
169	81.5
170	81.496
171	81.497
172	81.512
173	81.511
174	81.514
175	81.521
176	81.54
177	81.542
178	81.533
179	81.556
180	81.553
181	81.563
182	81.591
183	81.593
184	81.588
185	81.595
186	81.609
187	81.6
188	81.608
189	81.621
190	81.616
191	81.609
192	81.613
193	81.613
194	81.641
195	81.646
196	81.626
197	81.632
198	81.63
199	81.654
200	81.661
201	81.644
202	81.673
203	81.679
204	81.677
205	81.687
206	81.69
207	81.697
208	81.692
209	81.701
210	81.69
211	81.687
212	81.708
213	81.723
214	81.741
215	81.742
216	81.747
217	81.74
218	81.731
219	81.734
220	81.745
221	81.752
222	81.734
223	81.733
224	81.767
225	81.764
226	81.758
227	81.768
228	81.779
229	81.776
230	81.781
231	81.784
232	81.792
233	81.791
234	81.78
235	81.798
236	81.796
237	81.803
238	81.826
239	81.824
240	81.823
241	81.828
242	81.825
243	81.817
244	81.824
245	81.845
246	81.834
247	81.828
248	81.849
249	81.858
250	81.844
251	81.853
252	81.861
253	81.863
254	81.861
255	81.868
256	81.867
257	81.881
258	81.897
259	81.887
260	81.894
261	81.905
262	81.914
263	81.923
264	81.926
265	81.919
266	81.918
267	81.915
268	81.931
269	81.935
270	81.935
271	81.947
272	81.938
273	81.97
274	81.968
275	81.946
276	81.976
277	81.972
278	81.974
279	81.98
280	81.976
281	81.986
282	81.991
283	81.984
284	82
285	82.007
286	82.01
287	82.016
288	82.024
289	82.026
290	82.03
291	82.056
292	82.062
293	82.054
294	82.06
295	82.058
296	82.065
297	82.075
298	82.078
299	82.085
300	82.088
301	82.099
302	82.096
303	82.101
304	82.119
305	82.134
306	82.13
307	82.137
308	82.15
309	82.155
310	82.152
311	82.156
312	82.17
313	82.177
314	82.2
315	82.202
316	82.201
317	82.199
318	82.206
319	82.234
320	82.234
321	82.241
322	82.243
323	82.237
324	82.251
325	82.264
326	82.265
327	82.266
328	82.27
329	82.286
330	82.302
331	82.309
332	82.313
333	82.325
334	82.342
335	82.345
336	82.342
337	82.347
338	82.36
339	82.362
340	82.389
341	82.397
342	82.382
343	82.384
344	82.39
345	82.41
346	82.403
347	82.395
348	82.413
349	82.429
350	82.414
351	82.42
352	82.431
353	82.444
354	82.449
355	82.452
356	82.45
357	82.463
358	82.462
359	82.457
360	82.467
361	82.471
362	82.483
363	82.488
364	82.507
365	82.506
366	82.514
367	82.522
368	82.516
369	82.534
370	82.537
371	82.537
372	82.542
373	82.531
374	82.542
375	82.554
376	82.534
377	82.55
378	82.551
379	82.544
380	82.564
381	82.564
382	82.562
383	82.568
384	82.568
385	82.571
386	82.573
387	82.577
388	82.573
389	82.566
390	82.563
391	82.557
392	82.547
393	82.542
394	82.54
395	82.535
396	82.533
397	82.53
398	82.525
399	82.533
400	82.527
401	82.496
402	82.492
403	82.502
404	82.507
405	82.511
406	82.512
407	82.512
408	82.505
409	82.522
410	82.54
411	82.539
412	82.535
413	82.527
414	82.552
415	82.558
416	82.566
417	82.6
418	82.604
419	82.616
420	82.636
421	82.633
422	82.646
423	82.654
424	82.656
425	82.685
426	82.677
427	82.676
428	82.697
429	82.703
430	82.716
431	82.725
432	82.73
433	82.737
434	82.743
435	82.759
436	82.761
437	82.767
438	82.775
439	82.782
440	82.81
441	82.806
442	82.797
443	82.811
444	82.82
445	82.819
446	82.82
447	82.833
448	82.835
449	82.84
450	82.859
451	82.854
452	82.839
453	82.849
454	82.858
455	82.855
456	82.862
457	82.87
458	82.875
459	82.88
460	82.881
461	82.888
462	82.898
463	82.895
464	82.902
465	82.915
466	82.911
467	82.905
468	82.89
469	82.914
470	82.915
471	82.905
472	82.919
473	82.913
474	82.91
475	82.923
476	82.914
477	82.923
478	82.93
479	82.922
480	82.915
481	82.91
482	82.916
483	82.916
484	82.914
485	82.917
486	82.905
487	82.907
488	82.92
489	82.913
490	82.917
491	82.922
492	82.913
493	82.927
494	82.93
495	82.933
496	82.941
497	82.932
498	82.934
499	82.927
500	82.931
501	82.937
502	82.929
503	82.939
504	82.935
505	82.931
506	82.937
507	82.925
508	82.92
509	82.936
510	82.946
511	82.941
512	82.944
513	82.946
514	82.951
515	82.95
516	82.951
517	82.957
518	82.966
519	82.964
520	82.938
521	82.944
522	82.93
523	82.92
524	82.922
525	82.921
526	82.928
527	82.925
528	82.928
529	82.936
530	82.935
531	82.939
532	82.927
533	82.926
534	82.928
535	82.904
536	82.911
537	82.914
538	82.91
539	82.911
540	82.903
541	82.897
542	82.898
543	82.905
544	82.894
545	82.905
546	82.914
547	82.913
548	82.924
549	82.919
550	82.929
551	82.911
552	82.895
553	82.904
554	82.901
555	82.884
556	82.88
557	82.892
558	82.869
559	82.858
560	82.862
561	82.855
562	82.851
563	82.858
564	82.854
565	82.846
566	82.843
567	82.821
568	82.826
569	82.816
570	82.798
571	82.802
572	82.786
573	82.786
574	82.786
575	82.784
576	82.782
577	82.78
578	82.78
579	82.783
580	82.777
581	82.763
582	82.761
583	82.738
584	82.75
585	82.738
586	82.723
587	82.739
588	82.702
589	82.693
590	82.696
591	82.68
592	82.68
593	82.669
594	82.663
595	82.643
596	82.646
597	82.646
598	82.637
599	82.648
600	82.638
601	82.63
602	82.62
603	82.627
604	82.625
605	82.612
606	82.611
607	82.601
608	82.595
609	82.575
610	82.569
611	82.563
612	82.557
613	82.569
614	82.553
615	82.542
616	82.548
617	82.525
618	82.519
619	82.516
620	82.474
621	82.458
622	82.453
623	82.449
624	82.442
625	82.42
626	82.401
627	82.403
628	82.395
629	82.371
630	82.377
631	82.364
632	82.342
633	82.349
634	82.335
635	82.315
636	82.313
637	82.301
638	82.295
639	82.276
640	82.25
641	82.25
642	82.252
643	82.24
644	82.235
645	82.22
646	82.231
647	82.225
648	82.19
649	82.185
650	82.178
651	82.162
652	82.14
653	82.144
654	82.141
655	82.133
656	82.126
657	82.124
658	82.128
659	82.115
660	82.113
661	82.112
662	82.107
663	82.095
664	82.104
665	82.104
666	82.071
667	82.064
668	82.055
669	82.044
670	82.032
671	82.031
672	82.049
673	82.036
674	82.037
675	82.032
676	82.019
677	82.025
678	81.998
679	81.993
680	81.978
