Freq(Hz)	SPL(dB)
20	77.903
21	78.012
22	78.362
23	78.588
24	78.703
25	78.81
26	78.906
27	79.119
28	79.343
29	79.485
30	79.654
31	79.738
32	79.867
33	79.901
34	79.899
35	79.956
36	79.989
37	80.065
38	80.233
39	80.29
40	80.339
41	80.437
42	80.478
43	80.592
44	80.646
45	80.775
46	80.96
47	81.025
48	81.126
49	81.242
50	81.374
51	81.445
52	81.52
53	81.614
54	81.631
55	81.613
56	81.626
57	81.702
58	81.684
59	81.665
60	81.686
61	81.699
62	81.705
63	81.685
64	81.703
65	81.733
66	81.736
67	81.787
68	81.864
69	81.921
70	81.965
71	82.027
72	82.084
73	82.11
74	82.141
75	82.16
76	82.194
77	82.212
78	82.228
79	82.262
80	82.264
81	82.284
82	82.316
83	82.321
84	82.352
85	82.371
86	82.382
87	82.421
88	82.445
89	82.466
90	82.495
91	82.506
92	82.518
93	82.538
94	82.562
95	82.577
96	82.598
97	82.612
98	82.648
99	82.666
100	82.655
101	82.684
102	82.696
103	82.714
104	82.731
105	82.743
106	82.758
107	82.762
108	82.784
109	82.781
110	82.824
111	82.854
112	82.832
113	82.856
114	82.872
115	82.852
116	82.874
117	82.892
118	82.891
119	82.934
120	82.947
121	82.932
122	82.969
123	82.971
124	82.971
125	82.995
126	82.994
127	83.015
128	83.019
129	83.015
130	83.014
131	83.029
132	83.047
133	83.052
134	83.054
135	83.072
136	83.067
137	83.059
138	83.075
139	83.069
140	83.061
141	83.077
142	83.098
143	83.099
144	83.086
145	83.076
146	83.099
147	83.088
148	83.085
149	83.107
150	83.088
151	83.083
152	83.095
153	83.094
154	83.093
155	83.095
156	83.104
157	83.113
158	83.115
159	83.107
160	83.106
161	83.124
162	83.118
163	83.123
164	83.141
165	83.135
166	83.147
167	83.151
168	83.14
169	83.168
170	83.174
171	83.18
172	83.194
173	83.211
174	83.227
175	83.229
176	83.233
177	83.253
178	83.268
179	83.269
180	83.284
181	83.29
182	83.296
183	83.319
184	83.335
185	83.336
186	83.347
187	83.348
188	83.36
189	83.388
190	83.399
191	83.406
192	83.411
193	83.429
194	83.435
195	83.452
196	83.459
197	83.481
198	83.488
199	83.497
200	83.519
201	83.531
202	83.533
203	83.527
204	83.546
205	83.568
206	83.563
207	83.566
208	83.575
209	83.598
210	83.596
211	83.601
212	83.621
213	83.612
214	83.612
215	83.636
216	83.65
217	83.645
218	83.642
219	83.668
220	83.673
221	83.672
222	83.691
223	83.694
224	83.697
225	83.704
226	83.707
227	83.722
228	83.729
229	83.736
230	83.746
231	83.76
232	83.755
233	83.758
234	83.762
235	83.769
236	83.786
237	83.782
238	83.789
239	83.802
240	83.801
241	83.8
242	83.812
243	83.834
244	83.829
245	83.831
246	83.843
247	83.825
248	83.839
249	83.851
250	83.845
251	83.862
252	83.868
253	83.871
254	83.869
255	83.877
256	83.885
257	83.886
258	83.897
259	83.903
260	83.893
261	83.901
262	83.915
263	83.912
264	83.923
265	83.934
266	83.932
267	83.939
268	83.944
269	83.934
270	83.941
271	83.953
272	83.952
273	83.973
274	83.977
275	83.981
276	83.985
277	83.969
278	83.971
279	83.99
280	83.981
281	83.976
282	83.988
283	83.982
284	83.993
285	83.992
286	83.993
287	84.014
288	84.018
289	84.026
290	84.035
291	84.034
292	84.031
293	84.045
294	84.052
295	84.059
296	84.063
297	84.051
298	84.064
299	84.063
300	84.066
301	84.069
302	84.062
303	84.07
304	84.074
305	84.088
306	84.09
307	84.084
308	84.097
309	84.1
310	84.103
311	84.121
312	84.117
313	84.112
314	84.131
315	84.132
316	84.132
317	84.141
318	84.139
319	84.133
320	84.139
321	84.157
322	84.16
323	84.169
324	84.18
325	84.17
326	84.176
327	84.176
328	84.189
329	84.211
330	84.206
331	84.206
332	84.209
333	84.222
334	84.221
335	84.214
336	84.236
337	84.228
338	84.231
339	84.242
340	84.236
341	84.23
342	84.229
343	84.254
344	84.258
345	84.251
346	84.261
347	84.265
348	84.275
349	84.286
350	84.29
351	84.277
352	84.277
353	84.299
354	84.29
355	84.298
356	84.297
357	84.29
358	84.297
359	84.29
360	84.297
361	84.3
362	84.285
363	84.293
364	84.306
365	84.307
366	84.312
367	84.311
368	84.324
369	84.33
370	84.332
371	84.337
372	84.327
373	84.336
374	84.339
375	84.337
376	84.327
377	84.337
378	84.337
379	84.329
380	84.329
381	84.317
382	84.325
383	84.316
384	84.307
385	84.315
386	84.306
387	84.307
388	84.309
389	84.305
390	84.295
391	84.287
392	84.293
393	84.281
394	84.268
395	84.259
396	84.251
397	84.257
398	84.244
399	84.23
400	84.225
401	84.209
402	84.203
403	84.195
404	84.187
405	84.175
406	84.17
407	84.163
408	84.16
409	84.169
410	84.17
411	84.167
412	84.161
413	84.167
414	84.174
415	84.169
416	84.184
417	84.204
418	84.185
419	84.193
420	84.221
421	84.224
422	84.225
423	84.245
424	84.27
425	84.275
426	84.278
427	84.28
428	84.286
429	84.279
430	84.28
431	84.289
432	84.289
433	84.29
434	84.286
435	84.297
436	84.316
437	84.317
438	84.324
439	84.328
440	84.318
441	84.332
442	84.342
443	84.334
444	84.347
445	84.346
446	84.35
447	84.363
448	84.356
449	84.345
450	84.361
451	84.358
452	84.356
453	84.353
454	84.33
455	84.338
456	84.349
457	84.352
458	84.343
459	84.346
460	84.361
461	84.357
462	84.347
463	84.341
464	84.333
465	84.334
466	84.329
467	84.33
468	84.325
469	84.326
470	84.321
471	84.314
472	84.306
473	84.318
474	84.324
475	84.317
476	84.327
477	84.329
478	84.329
479	84.328
480	84.321
481	84.302
482	84.296
483	84.301
484	84.282
485	84.274
486	84.269
487	84.28
488	84.284
489	84.27
490	84.263
491	84.25
492	84.257
493	84.25
494	84.233
495	84.221
496	84.213
497	84.22
498	84.204
499	84.195
500	84.191
501	84.18
502	84.171
503	84.164
504	84.167
505	84.158
506	84.175
507	84.172
508	84.169
509	84.183
510	84.169
511	84.173
512	84.17
513	84.173
514	84.188
515	84.178
516	84.162
517	84.158
518	84.157
519	84.152
520	84.148
521	84.17
522	84.169
523	84.164
524	84.175
525	84.168
526	84.173
527	84.191
528	84.181
529	84.185
530	84.189
531	84.18
532	84.179
533	84.19
534	84.176
535	84.159
536	84.17
537	84.163
538	84.181
539	84.192
540	84.179
541	84.192
542	84.2
543	84.189
544	84.194
545	84.196
546	84.199
547	84.201
548	84.204
549	84.215
550	84.209
551	84.215
552	84.225
553	84.227
554	84.225
555	84.228
556	84.235
557	84.232
558	84.247
559	84.246
560	84.247
561	84.265
562	84.247
563	84.247
564	84.254
565	84.241
566	84.259
567	84.269
568	84.269
569	84.273
570	84.293
571	84.297
572	84.295
573	84.291
574	84.304
575	84.323
576	84.331
577	84.341
578	84.349
579	84.338
580	84.344
581	84.363
582	84.357
583	84.356
584	84.362
585	84.372
586	84.369
587	84.346
588	84.356
589	84.357
590	84.351
591	84.356
592	84.365
593	84.368
594	84.379
595	84.383
596	84.371
597	84.374
598	84.381
599	84.381
600	84.392
601	84.402
602	84.406
603	84.427
604	84.447
605	84.453
606	84.449
607	84.46
608	84.464
609	84.469
610	84.475
611	84.478
612	84.486
613	84.497
614	84.486
615	84.489
616	84.49
617	84.483
618	84.502
619	84.487
620	84.484
621	84.493
622	84.487
623	84.494
624	84.488
625	84.494
626	84.513
627	84.516
628	84.523
629	84.549
630	84.562
631	84.572
632	84.575
633	84.589
634	84.598
635	84.595
636	84.608
637	84.614
638	84.603
639	84.599
640	84.604
641	84.592
642	84.593
643	84.595
644	84.606
645	84.626
646	84.639
647	84.657
648	84.669
649	84.682
650	84.675
651	84.67
652	84.692
653	84.691
654	84.702
655	84.716
656	84.714
657	84.726
658	84.732
659	84.726
660	84.735
661	84.747
662	84.748
663	84.757
664	84.764
665	84.777
666	84.787
667	84.795
668	84.813
669	84.809
670	84.807
671	84.807
672	84.799
673	84.799
674	84.807
675	84.801
676	84.783
677	84.802
678	84.806
679	84.8
680	84.838
681	84.858
682	84.845
683	84.852
684	84.863
685	84.867
686	84.869
687	84.888
688	84.895
689	84.895
690	84.901
691	84.922
692	84.938
693	84.942
694	84.962
695	84.974
696	84.975
697	84.973
698	84.98
699	84.975
700	84.981
701	84.995
702	85.006
703	85.012
704	85.005
705	85.004
706	85.01
707	85.01
708	85.011
709	85.024
710	85.026
711	85.04
712	85.051
713	85.041
714	85.044
715	85.057
716	85.06
