Freq(Hz)	SPL(dB)
20	77.569
21	77.773
22	78.31
23	78.669
24	78.835
25	78.935
26	79.163
27	79.388
28	79.645
29	79.757
30	80.052
31	80.309
32	80.395
33	80.494
34	80.558
35	80.618
36	80.662
37	80.714
38	80.881
39	81.044
40	81.116
41	81.172
42	81.15
43	81.171
44	81.219
45	81.295
46	81.438
47	81.508
48	81.651
49	81.839
50	81.954
51	82.05
52	82.175
53	82.263
54	82.32
55	82.347
56	82.337
57	82.284
58	82.275
59	82.264
60	82.279
61	82.334
62	82.375
63	82.456
64	82.543
65	82.615
66	82.667
67	82.731
68	82.782
69	82.846
70	82.88
71	82.93
72	82.975
73	82.992
74	83.024
75	83.046
76	83.066
77	83.087
78	83.105
79	83.132
80	83.164
81	83.176
82	83.199
83	83.223
84	83.243
85	83.265
86	83.294
87	83.325
88	83.343
89	83.356
90	83.381
91	83.404
92	83.419
93	83.44
94	83.458
95	83.474
96	83.485
97	83.503
98	83.515
99	83.522
100	83.539
101	83.544
102	83.547
103	83.558
104	83.57
105	83.591
106	83.602
107	83.612
108	83.636
109	83.638
110	83.65
111	83.655
112	83.672
113	83.677
114	83.668
115	83.676
116	83.693
117	83.709
118	83.718
119	83.735
120	83.734
121	83.743
122	83.759
123	83.767
124	83.776
125	83.78
126	83.792
127	83.796
128	83.809
129	83.816
130	83.822
131	83.826
132	83.831
133	83.843
134	83.844
135	83.853
136	83.861
137	83.864
138	83.876
139	83.878
140	83.886
141	83.893
142	83.89
143	83.909
144	83.921
145	83.913
146	83.912
147	83.936
148	83.924
149	83.924
150	83.941
151	83.942
152	83.943
153	83.933
154	83.948
155	83.95
156	83.937
157	83.936
158	83.942
159	83.944
160	83.93
161	83.929
162	83.929
163	83.918
164	83.919
165	83.921
166	83.922
167	83.921
168	83.923
169	83.936
170	83.934
171	83.936
172	83.96
173	83.965
174	83.96
175	83.968
176	83.977
177	83.979
178	83.991
179	84.007
180	84.007
181	84.017
182	84.035
183	84.041
184	84.05
185	84.049
186	84.063
187	84.07
188	84.069
189	84.09
190	84.101
191	84.112
192	84.111
193	84.117
194	84.12
195	84.123
196	84.14
197	84.136
198	84.14
199	84.13
200	84.127
201	84.134
202	84.131
203	84.134
204	84.135
205	84.148
206	84.138
207	84.131
208	84.143
209	84.145
210	84.129
211	84.133
212	84.143
213	84.12
214	84.122
215	84.119
216	84.118
217	84.126
218	84.122
219	84.129
220	84.121
221	84.13
222	84.139
223	84.122
224	84.131
225	84.12
226	84.115
227	84.128
228	84.12
229	84.127
230	84.138
231	84.14
232	84.145
233	84.15
234	84.161
235	84.166
236	84.165
237	84.177
238	84.198
239	84.198
240	84.198
241	84.203
242	84.222
243	84.23
244	84.228
245	84.238
246	84.238
247	84.246
248	84.261
249	84.273
250	84.279
251	84.297
252	84.303
253	84.309
254	84.325
255	84.337
256	84.342
257	84.345
258	84.362
259	84.365
260	84.371
261	84.378
262	84.378
263	84.393
264	84.4
265	84.396
266	84.408
267	84.42
268	84.429
269	84.448
270	84.462
271	84.475
272	84.48
273	84.496
274	84.499
275	84.506
276	84.507
277	84.52
278	84.539
279	84.531
280	84.528
281	84.537
282	84.536
283	84.541
284	84.558
285	84.576
286	84.583
287	84.593
288	84.606
289	84.609
290	84.627
291	84.626
292	84.631
293	84.641
294	84.639
295	84.652
296	84.652
297	84.651
298	84.674
299	84.682
300	84.687
301	84.689
302	84.686
303	84.714
304	84.717
305	84.718
306	84.735
307	84.742
308	84.744
309	84.747
310	84.749
311	84.756
312	84.77
313	84.77
314	84.776
315	84.777
316	84.791
317	84.794
318	84.796
319	84.818
320	84.818
321	84.837
322	84.846
323	84.836
324	84.855
325	84.858
326	84.86
327	84.886
328	84.884
329	84.881
330	84.896
331	84.899
332	84.889
333	84.9
334	84.917
335	84.917
336	84.934
337	84.945
338	84.956
339	84.969
340	84.972
341	84.97
342	84.967
343	84.974
344	84.978
345	84.978
346	84.981
347	84.992
348	85
349	85.007
350	85.011
351	85.008
352	85.009
353	85.013
354	85.035
355	85.029
356	85.019
357	85.032
358	85.024
359	85.024
360	85.042
361	85.042
362	85.058
363	85.059
364	85.059
365	85.066
366	85.056
367	85.064
368	85.08
369	85.091
370	85.093
371	85.089
372	85.096
373	85.087
374	85.079
375	85.079
376	85.068
377	85.07
378	85.076
379	85.07
380	85.07
381	85.081
382	85.08
383	85.077
384	85.09
385	85.08
386	85.069
387	85.062
388	85.044
389	85.037
390	85.016
391	84.995
392	84.969
393	84.95
394	84.909
395	84.874
396	84.851
397	84.809
398	84.788
399	84.749
400	84.724
401	84.706
402	84.688
403	84.682
404	84.678
405	84.682
406	84.693
407	84.69
408	84.701
409	84.733
410	84.752
411	84.761
412	84.781
413	84.801
414	84.831
415	84.846
416	84.855
417	84.896
418	84.914
419	84.909
420	84.916
421	84.92
422	84.921
423	84.946
424	84.949
425	84.959
426	84.974
427	84.972
428	84.97
429	84.974
430	84.98
431	84.985
432	84.99
433	84.998
434	85.011
435	85.015
436	85.01
437	85.015
438	85.016
439	85.043
440	85.044
441	85.03
442	85.039
443	85.036
444	85.036
445	85.044
446	85.04
447	85.029
448	85.023
449	85.025
450	85.025
451	85.023
452	85.021
453	85.006
454	84.994
455	85.005
456	85.016
457	85.016
458	85.012
459	85.019
460	85.022
461	85.031
462	85.04
463	85.037
464	85.03
465	85.04
466	85.041
467	85.031
468	85.029
469	85.023
470	85.023
471	85.015
472	85.006
473	85.017
474	85.011
475	85.005
476	85.005
477	84.999
478	84.999
479	84.994
480	84.985
481	84.977
482	84.976
483	84.975
484	84.96
485	84.957
486	84.953
487	84.958
488	84.954
489	84.943
490	84.96
491	84.957
492	84.95
493	84.951
494	84.944
495	84.943
496	84.927
497	84.927
498	84.928
499	84.91
500	84.908
501	84.892
502	84.885
503	84.89
504	84.875
505	84.867
506	84.865
507	84.863
508	84.863
509	84.864
510	84.867
511	84.872
512	84.882
513	84.877
514	84.887
515	84.896
516	84.896
517	84.899
518	84.888
519	84.886
520	84.888
521	84.884
522	84.868
523	84.858
524	84.85
525	84.842
526	84.853
527	84.87
528	84.862
529	84.864
530	84.866
531	84.873
532	84.878
533	84.858
534	84.844
535	84.83
536	84.837
537	84.853
538	84.862
539	84.871
540	84.86
541	84.854
542	84.851
543	84.838
544	84.831
545	84.844
546	84.856
547	84.87
548	84.894
549	84.903
550	84.907
551	84.88
552	84.876
553	84.876
554	84.861
555	84.873
556	84.874
557	84.867
558	84.854
559	84.84
560	84.835
561	84.834
562	84.836
563	84.848
564	84.869
565	84.875
566	84.877
567	84.859
568	84.854
569	84.857
570	84.838
571	84.836
572	84.842
573	84.843
574	84.825
575	84.81
576	84.801
