Freq(Hz)	SPL(dB)
20	73.682
21	73.886
22	74.255
23	74.524
24	74.604
25	74.638
26	74.801
27	75.046
28	75.27
29	75.492
30	75.811
31	75.951
32	76.078
33	76.208
34	76.322
35	76.372
36	76.448
37	76.575
38	76.664
39	76.918
40	77.064
41	77.143
42	77.132
43	77.057
44	77.16
45	77.345
46	77.476
47	77.515
48	77.557
49	77.766
50	77.818
51	77.861
52	78.002
53	78.088
54	78.077
55	78.105
56	78.216
57	78.235
58	78.262
59	78.307
60	78.373
61	78.403
62	78.463
63	78.548
64	78.578
65	78.622
66	78.666
67	78.745
68	78.736
69	78.844
70	78.928
71	78.928
72	78.972
73	79.028
74	79.056
75	79.044
76	79.116
77	79.144
78	79.148
79	79.132
80	79.203
81	79.273
82	79.198
83	79.226
84	79.327
85	79.332
86	79.325
87	79.328
88	79.38
89	79.432
90	79.432
91	79.464
92	79.474
93	79.51
94	79.55
95	79.559
96	79.569
97	79.593
98	79.631
99	79.633
100	79.658
101	79.724
102	79.727
103	79.734
104	79.764
105	79.792
106	79.834
107	79.844
108	79.857
109	79.885
110	79.918
111	79.933
112	79.936
113	79.964
114	79.973
115	80
116	80.02
117	80.022
118	80.046
119	80.09
120	80.131
121	80.126
122	80.152
123	80.165
124	80.166
125	80.206
126	80.212
127	80.21
128	80.226
129	80.252
130	80.285
131	80.282
132	80.293
133	80.306
134	80.325
135	80.328
136	80.346
137	80.353
138	80.366
139	80.379
140	80.401
141	80.429
142	80.411
143	80.455
144	80.468
145	80.458
146	80.452
147	80.445
148	80.467
149	80.493
150	80.495
151	80.489
152	80.482
153	80.488
154	80.497
155	80.496
156	80.507
157	80.516
158	80.496
159	80.5
160	80.502
161	80.514
162	80.527
163	80.523
164	80.536
165	80.536
166	80.543
167	80.567
168	80.579
169	80.592
170	80.601
171	80.623
172	80.638
173	80.658
174	80.674
175	80.678
176	80.677
177	80.702
178	80.73
179	80.734
180	80.768
181	80.778
182	80.794
183	80.832
184	80.839
185	80.827
186	80.857
187	80.89
188	80.885
189	80.884
190	80.905
191	80.936
192	80.948
193	80.961
194	80.978
195	81.008
196	81.026
197	81.022
198	81.048
199	81.066
200	81.058
201	81.09
202	81.102
203	81.111
204	81.121
205	81.152
206	81.171
207	81.16
208	81.204
209	81.219
210	81.205
211	81.221
212	81.249
213	81.266
214	81.271
215	81.31
216	81.325
217	81.312
218	81.32
219	81.333
220	81.332
221	81.349
222	81.377
223	81.366
224	81.356
225	81.398
226	81.407
227	81.406
228	81.428
229	81.428
230	81.444
231	81.436
232	81.437
233	81.466
234	81.478
235	81.477
236	81.483
237	81.497
238	81.508
239	81.525
240	81.533
241	81.54
242	81.545
243	81.547
244	81.55
245	81.556
246	81.566
247	81.573
248	81.582
249	81.6
250	81.604
251	81.611
252	81.628
253	81.647
254	81.651
255	81.658
256	81.677
257	81.69
258	81.695
259	81.701
260	81.708
261	81.717
262	81.722
263	81.736
264	81.755
265	81.742
266	81.763
267	81.792
268	81.792
269	81.812
270	81.819
271	81.827
272	81.84
273	81.851
274	81.856
275	81.879
276	81.879
277	81.883
278	81.891
279	81.875
280	81.88
281	81.887
282	81.898
283	81.919
284	81.925
285	81.943
286	81.95
287	81.958
288	81.972
289	81.973
290	81.994
291	81.993
292	82.003
293	82.042
294	82.035
295	82.053
296	82.066
297	82.042
298	82.064
299	82.081
300	82.093
301	82.11
302	82.106
303	82.128
304	82.138
305	82.153
306	82.178
307	82.178
308	82.188
309	82.216
310	82.208
311	82.209
312	82.232
313	82.249
314	82.26
315	82.272
316	82.27
317	82.261
318	82.287
319	82.319
320	82.303
321	82.316
322	82.323
323	82.336
324	82.359
325	82.369
326	82.387
327	82.398
328	82.41
329	82.419
330	82.426
331	82.448
332	82.455
333	82.453
334	82.457
335	82.46
336	82.472
337	82.478
338	82.491
339	82.496
340	82.512
341	82.513
342	82.516
343	82.544
344	82.538
345	82.551
346	82.548
347	82.56
348	82.577
349	82.581
350	82.594
351	82.587
352	82.605
353	82.623
354	82.626
355	82.637
356	82.628
357	82.614
358	82.616
359	82.638
360	82.655
361	82.647
362	82.652
363	82.647
364	82.663
365	82.667
366	82.671
367	82.673
368	82.655
369	82.676
370	82.683
371	82.681
372	82.678
373	82.664
374	82.665
375	82.664
376	82.664
377	82.657
378	82.643
379	82.63
380	82.631
381	82.665
382	82.661
383	82.639
384	82.633
385	82.585
386	82.573
387	82.601
388	82.614
389	82.62
390	82.582
391	82.561
392	82.577
393	82.582
394	82.518
395	82.479
396	82.48
397	82.511
398	82.539
399	82.502
400	82.477
401	82.416
402	82.418
403	82.447
404	82.448
405	82.444
406	82.425
407	82.405
408	82.396
409	82.41
410	82.427
411	82.428
412	82.408
413	82.401
414	82.439
415	82.457
416	82.467
417	82.479
418	82.496
419	82.487
420	82.51
421	82.562
422	82.557
423	82.574
424	82.586
425	82.571
426	82.584
427	82.604
428	82.58
429	82.631
