Freq(Hz)	SPL(dB)
20	73.923
21	74.146
22	74.582
23	74.876
24	75.066
25	75.189
26	75.371
27	75.595
28	75.864
29	76.086
30	76.383
31	76.603
32	76.735
33	76.782
34	76.849
35	77.019
36	77.158
37	77.3
38	77.484
39	77.659
40	77.736
41	77.824
42	77.843
43	77.871
44	77.947
45	78.018
46	78.124
47	78.247
48	78.326
49	78.421
50	78.555
51	78.612
52	78.69
53	78.753
54	78.819
55	78.825
56	78.839
57	78.889
58	78.914
59	78.939
60	78.982
61	79.057
62	79.124
63	79.193
64	79.267
65	79.356
66	79.418
67	79.497
68	79.563
69	79.65
70	79.689
71	79.732
72	79.791
73	79.819
74	79.849
75	79.892
76	79.925
77	79.946
78	79.977
79	80.006
80	80.037
81	80.05
82	80.071
83	80.095
84	80.12
85	80.134
86	80.156
87	80.195
88	80.218
89	80.232
90	80.256
91	80.289
92	80.307
93	80.323
94	80.344
95	80.38
96	80.379
97	80.39
98	80.404
99	80.412
100	80.45
101	80.435
102	80.466
103	80.485
104	80.484
105	80.521
106	80.545
107	80.549
108	80.543
109	80.591
110	80.59
111	80.593
112	80.643
113	80.654
114	80.675
115	80.69
116	80.707
117	80.736
118	80.739
119	80.747
120	80.766
121	80.778
122	80.774
123	80.781
124	80.8
125	80.815
126	80.822
127	80.842
128	80.837
129	80.844
130	80.878
131	80.866
132	80.886
133	80.905
134	80.914
135	80.923
136	80.943
137	80.946
138	80.959
139	80.975
140	80.986
141	81.014
142	81.008
143	81.014
144	81.032
145	81.035
146	81.058
147	81.07
148	81.083
149	81.09
150	81.072
151	81.087
152	81.078
153	81.086
154	81.099
155	81.07
156	81.081
157	81.087
158	81.088
159	81.1
160	81.086
161	81.09
162	81.095
163	81.079
164	81.086
165	81.098
166	81.09
167	81.096
168	81.104
169	81.105
170	81.106
171	81.125
172	81.111
173	81.105
174	81.141
175	81.15
176	81.121
177	81.151
178	81.177
179	81.148
180	81.179
181	81.206
182	81.182
183	81.181
184	81.237
185	81.223
186	81.207
187	81.255
188	81.28
189	81.289
190	81.297
191	81.329
192	81.338
193	81.334
194	81.355
195	81.412
196	81.43
197	81.386
198	81.386
199	81.447
200	81.438
201	81.427
202	81.471
203	81.491
204	81.516
205	81.512
206	81.519
207	81.528
208	81.56
209	81.563
210	81.535
211	81.564
212	81.589
213	81.583
214	81.588
215	81.6
216	81.625
217	81.647
218	81.656
219	81.634
220	81.627
221	81.666
222	81.684
223	81.7
224	81.677
225	81.676
226	81.71
227	81.732
228	81.735
229	81.739
230	81.712
231	81.703
232	81.75
233	81.765
234	81.776
235	81.792
236	81.771
237	81.78
238	81.795
239	81.806
240	81.821
241	81.821
242	81.826
243	81.822
244	81.816
245	81.838
